RefundID,OrderID,CustomerID,TransactionID,RefundAmount,RefundStatus,RefundReason,RequestedDate,ProcessedDate,GatewayReference
REF00000018,ORD0000164,CUST000164,TXN00000164,1321.03,NOT_INITIATED,RETURN,,,GW-52069571
REF00000019,ORD0000176,CUST000176,TXN00000176,569.17,NOT_INITIATED,RETURN,,,GW-77742558
REF00000020,ORD0000183,CUST000183,TXN00000183,763.31,NOT_INITIATED,RETURN,,,GW-88655506
REF00000021,ORD0000204,CUST000204,TXN00000204,1395.21,NOT_INITIATED,RETURN,,,GW-53991209
REF00000022,ORD0000291,CUST000291,TXN00000291,1331.42,NOT_INITIATED,RETURN,,,GW-85430704
REF00000023,ORD0000303,CUST000303,TXN00000303,596.55,NOT_INITIATED,ORDER_CANCELLED,,,GW-85541950
REF00000024,ORD0000308,CUST000308,TXN00000308,1221.99,NOT_INITIATED,ORDER_CANCELLED,,,GW-23617158
REF00000025,ORD0000309,CUST000309,TXN00000309,678.51,NOT_INITIATED,RETURN,,,GW-45394922
REF00000026,ORD0000314,CUST000314,TXN00000314,103.71,NOT_INITIATED,ORDER_CANCELLED,,,GW-18110255
REF00000027,ORD0000333,CUST000333,TXN00000333,241.46,NOT_INITIATED,ORDER_CANCELLED,,,GW-44499597
REF00000028,ORD0000362,CUST000362,TXN00000362,2878.53,NOT_INITIATED,ORDER_CANCELLED,,,GW-77278217
REF00000029,ORD0000363,CUST000363,TXN00000363,212.81,NOT_INITIATED,ORDER_CANCELLED,,,GW-43766169
REF00000030,ORD0000365,CUST000365,TXN00000365,547.99,NOT_INITIATED,ORDER_CANCELLED,,,GW-49175656
REF00000031,ORD0000370,CUST000370,TXN00000370,2070.19,NOT_INITIATED,RETURN,,,GW-47773020
REF00000032,ORD0000376,CUST000376,TXN00000376,371.53,NOT_INITIATED,RETURN,,,GW-52799687
REF00000033,ORD0000383,CUST000383,TXN00000383,599.1,NOT_INITIATED,RETURN,,,GW-17535674
REF00000034,ORD0000409,CUST000409,TXN00000409,635.0,NOT_INITIATED,RETURN,,,GW-26805141
REF00000035,ORD0000415,CUST000415,TXN00000415,1896.1,NOT_INITIATED,ORDER_CANCELLED,,,GW-84477168
REF00000036,ORD0000444,CUST000444,TXN00000444,887.09,NOT_INITIATED,RETURN,,,GW-11531334
REF00000037,ORD0000482,CUST000482,TXN00000482,20.41,NOT_INITIATED,RETURN,,,GW-50135960
REF00000038,ORD0000490,CUST000490,TXN00000490,1205.98,NOT_INITIATED,ORDER_CANCELLED,,,GW-39141699
REF00000039,ORD0000524,CUST000524,TXN00000524,503.51,NOT_INITIATED,RETURN,,,GW-94532675
REF00000040,ORD0000533,CUST000533,TXN00000533,1905.64,NOT_INITIATED,ORDER_CANCELLED,,,GW-79281900
REF00000041,ORD0000556,CUST000556,TXN00000556,552.15,NOT_INITIATED,ORDER_CANCELLED,,,GW-26981826
REF00000042,ORD0000559,CUST000559,TXN00000559,502.41,NOT_INITIATED,ORDER_CANCELLED,,,GW-75037186
REF00000043,ORD0000572,CUST000572,TXN00000572,270.53,NOT_INITIATED,ORDER_CANCELLED,,,GW-84570424
REF00000044,ORD0000586,CUST000586,TXN00000586,394.1,NOT_INITIATED,RETURN,,,GW-40339638
REF00000045,ORD0000597,CUST000597,TXN00000597,473.27,NOT_INITIATED,RETURN,,,GW-52101740
REF00000046,ORD0000601,CUST000601,TXN00000601,1473.7,NOT_INITIATED,RETURN,,,GW-39550820
REF00000047,ORD0000617,CUST000617,TXN00000617,1812.3,NOT_INITIATED,ORDER_CANCELLED,,,GW-52954311
REF00000048,ORD0000637,CUST000637,TXN00000637,946.19,NOT_INITIATED,RETURN,,,GW-12915317
REF00000049,ORD0000682,CUST000682,TXN00000682,798.27,NOT_INITIATED,RETURN,,,GW-93594248
REF00000050,ORD0000717,CUST000717,TXN00000717,1058.18,NOT_INITIATED,RETURN,,,GW-98993247
REF00000051,ORD0000725,CUST000725,TXN00000725,1942.07,NOT_INITIATED,RETURN,,,GW-75540675
REF00000052,ORD0000727,CUST000727,TXN00000727,2937.54,NOT_INITIATED,ORDER_CANCELLED,,,GW-43568149
REF00000053,ORD0000730,CUST000730,TXN00000730,858.33,NOT_INITIATED,RETURN,,,GW-75767327
REF00000054,ORD0000746,CUST000746,TXN00000746,112.07,NOT_INITIATED,ORDER_CANCELLED,,,GW-65144515
REF00000055,ORD0000753,CUST000753,TXN00000753,184.88,NOT_INITIATED,RETURN,,,GW-74773101
REF00000056,ORD0000775,CUST000775,TXN00000775,491.6,NOT_INITIATED,RETURN,,,GW-91786246
REF00000057,ORD0000785,CUST000785,TXN00000785,727.47,NOT_INITIATED,ORDER_CANCELLED,,,GW-78945163
REF00000058,ORD0000786,CUST000786,TXN00000786,1615.63,NOT_INITIATED,ORDER_CANCELLED,,,GW-38357288
REF00000059,ORD0000788,CUST000788,TXN00000788,1031.67,NOT_INITIATED,ORDER_CANCELLED,,,GW-75576576
REF00000060,ORD0000790,CUST000790,TXN00000790,1908.42,NOT_INITIATED,RETURN,,,GW-85012599
REF00000061,ORD0000818,CUST000818,TXN00000818,250.02,NOT_INITIATED,RETURN,,,GW-71376986
REF00000062,ORD0000833,CUST000833,TXN00000833,972.35,NOT_INITIATED,ORDER_CANCELLED,,,GW-58876296
REF00000063,ORD0000835,CUST000835,TXN00000835,292.19,NOT_INITIATED,RETURN,,,GW-22346567
REF00000064,ORD0000842,CUST000842,TXN00000842,590.62,NOT_INITIATED,RETURN,,,GW-15405350
REF00000065,ORD0000844,CUST000844,TXN00000844,1251.33,NOT_INITIATED,ORDER_CANCELLED,,,GW-11015315
REF00000066,ORD0000894,CUST000894,TXN00000894,411.24,NOT_INITIATED,ORDER_CANCELLED,,,GW-67431352
REF00000067,ORD0000948,CUST000948,TXN00000948,558.65,NOT_INITIATED,ORDER_CANCELLED,,,GW-87172047
REF00000068,ORD0000959,CUST000959,TXN00000959,134.57,NOT_INITIATED,RETURN,,,GW-62591575
REF00000069,ORD0000978,CUST000978,TXN00000978,379.87,NOT_INITIATED,RETURN,,,GW-63692266
REF00000070,ORD0000999,CUST000999,TXN00000999,184.48,NOT_INITIATED,RETURN,,,GW-39335391
REF00000071,ORD0001000,CUST001000,TXN00001000,731.23,NOT_INITIATED,RETURN,,,GW-61636375
REF00000072,ORD0001005,CUST001005,TXN00001005,121.92,NOT_INITIATED,RETURN,,,GW-49550251
REF00000073,ORD0001030,CUST001030,TXN00001030,583.64,NOT_INITIATED,ORDER_CANCELLED,,,GW-65823356
REF00000074,ORD0001031,CUST001031,TXN00001031,1982.97,NOT_INITIATED,ORDER_CANCELLED,,,GW-63810144
REF00000075,ORD0001034,CUST001034,TXN00001034,1087.27,NOT_INITIATED,ORDER_CANCELLED,,,GW-36393021
REF00000076,ORD0001048,CUST001048,TXN00001048,248.84,NOT_INITIATED,RETURN,,,GW-25527561
REF00000077,ORD0001061,CUST001061,TXN00001061,662.48,NOT_INITIATED,RETURN,,,GW-74620534
REF00000078,ORD0001068,CUST001068,TXN00001068,504.89,NOT_INITIATED,RETURN,,,GW-47463204
REF00000079,ORD0001072,CUST001072,TXN00001072,937.3,NOT_INITIATED,ORDER_CANCELLED,,,GW-92912595
REF00000080,ORD0001084,CUST001084,TXN00001084,940.72,NOT_INITIATED,ORDER_CANCELLED,,,GW-82506624
REF00000081,ORD0001105,CUST001105,TXN00001105,2030.08,NOT_INITIATED,ORDER_CANCELLED,,,GW-33028108
REF00000082,ORD0001114,CUST001114,TXN00001114,1028.82,NOT_INITIATED,ORDER_CANCELLED,,,GW-96723552
REF00000083,ORD0001167,CUST001167,TXN00001167,157.59,NOT_INITIATED,RETURN,,,GW-42568414
REF00000084,ORD0001198,CUST001198,TXN00001198,414.1,NOT_INITIATED,RETURN,,,GW-40524308
REF00000085,ORD0001229,CUST001229,TXN00001229,782.49,NOT_INITIATED,ORDER_CANCELLED,,,GW-61695587
REF00000086,ORD0001244,CUST001244,TXN00001244,13.36,NOT_INITIATED,RETURN,,,GW-56658690
REF00000087,ORD0001252,CUST001252,TXN00001252,1760.73,NOT_INITIATED,ORDER_CANCELLED,,,GW-36224842
REF00000088,ORD0001253,CUST001253,TXN00001253,1571.94,NOT_INITIATED,RETURN,,,GW-50305502
REF00000089,ORD0001266,CUST001266,TXN00001266,749.79,NOT_INITIATED,RETURN,,,GW-14853558
REF00000090,ORD0001279,CUST001279,TXN00001279,565.59,NOT_INITIATED,ORDER_CANCELLED,,,GW-92445886
REF00000091,ORD0001284,CUST001284,TXN00001284,737.31,NOT_INITIATED,RETURN,,,GW-80565645
REF00000092,ORD0001352,CUST001352,TXN00001352,1284.9,NOT_INITIATED,RETURN,,,GW-41768800
REF00000093,ORD0001371,CUST001371,TXN00001371,279.83,NOT_INITIATED,RETURN,,,GW-23226216
REF00000094,ORD0001379,CUST001379,TXN00001379,487.6,NOT_INITIATED,RETURN,,,GW-83152176
REF00000095,ORD0001397,CUST001397,TXN00001397,1653.16,NOT_INITIATED,ORDER_CANCELLED,,,GW-65095231
REF00000096,ORD0001399,CUST001399,TXN00001399,346.68,NOT_INITIATED,RETURN,,,GW-21109661
REF00000097,ORD0001433,CUST001433,TXN00001433,1923.59,NOT_INITIATED,RETURN,,,GW-24807223
REF00000098,ORD0001444,CUST001444,TXN00001444,563.26,NOT_INITIATED,RETURN,,,GW-98718942
REF00000099,ORD0001447,CUST001447,TXN00001447,1212.74,NOT_INITIATED,ORDER_CANCELLED,,,GW-96832664
REF00000100,ORD0001486,CUST001486,TXN00001486,29.79,NOT_INITIATED,RETURN,,,GW-10299433
REF00000101,ORD0001493,CUST001493,TXN00001493,1924.61,NOT_INITIATED,ORDER_CANCELLED,,,GW-16674244
REF00000102,ORD0001507,CUST001507,TXN00001507,1695.82,NOT_INITIATED,RETURN,,,GW-24508077
REF00000103,ORD0001537,CUST001537,TXN00001537,1218.13,NOT_INITIATED,RETURN,,,GW-16553093
REF00000104,ORD0001553,CUST001553,TXN00001553,213.71,NOT_INITIATED,ORDER_CANCELLED,,,GW-46203833
REF00000105,ORD0001555,CUST001555,TXN00001555,240.38,NOT_INITIATED,ORDER_CANCELLED,,,GW-80311766
REF00000106,ORD0001557,CUST001557,TXN00001557,813.04,NOT_INITIATED,RETURN,,,GW-30232567
REF00000107,ORD0001603,CUST001603,TXN00001603,289.93,NOT_INITIATED,RETURN,,,GW-96801406
REF00000108,ORD0001609,CUST001609,TXN00001609,288.67,NOT_INITIATED,ORDER_CANCELLED,,,GW-58268763
REF00000109,ORD0001650,CUST001650,TXN00001650,740.7,NOT_INITIATED,RETURN,,,GW-37188378
REF00000110,ORD0001655,CUST001655,TXN00001655,161.76,NOT_INITIATED,RETURN,,,GW-37120200
REF00000111,ORD0001680,CUST001680,TXN00001680,1914.15,NOT_INITIATED,RETURN,,,GW-82696344
REF00000112,ORD0001690,CUST001690,TXN00001690,967.09,NOT_INITIATED,ORDER_CANCELLED,,,GW-96929428
REF00000113,ORD0001692,CUST001692,TXN00001692,112.24,NOT_INITIATED,ORDER_CANCELLED,,,GW-68167933
REF00000114,ORD0001695,CUST001695,TXN00001695,1804.16,NOT_INITIATED,ORDER_CANCELLED,,,GW-96291169
REF00000115,ORD0001725,CUST001725,TXN00001725,2305.34,NOT_INITIATED,RETURN,,,GW-96255253
REF00000116,ORD0001729,CUST001729,TXN00001729,246.76,NOT_INITIATED,RETURN,,,GW-50473923
REF00000117,ORD0001740,CUST001740,TXN00001740,606.38,NOT_INITIATED,RETURN,,,GW-63222909
REF00000118,ORD0001748,CUST001748,TXN00001748,210.16,NOT_INITIATED,ORDER_CANCELLED,,,GW-75725729
REF00000119,ORD0001773,CUST001773,TXN00001773,1236.74,NOT_INITIATED,ORDER_CANCELLED,,,GW-16209252
REF00000120,ORD0001792,CUST001792,TXN00001792,332.09,NOT_INITIATED,RETURN,,,GW-53706803
REF00000121,ORD0001796,CUST001796,TXN00001796,105.14,NOT_INITIATED,ORDER_CANCELLED,,,GW-45602504
REF00000122,ORD0001825,CUST001825,TXN00001825,218.3,NOT_INITIATED,RETURN,,,GW-19329696
REF00000123,ORD0001832,CUST001832,TXN00001832,399.22,NOT_INITIATED,RETURN,,,GW-27591590
REF00000124,ORD0001841,CUST001841,TXN00001841,1240.04,NOT_INITIATED,RETURN,,,GW-16828135
REF00000125,ORD0001849,CUST001849,TXN00001849,1748.06,NOT_INITIATED,ORDER_CANCELLED,,,GW-60112542
REF00000126,ORD0001851,CUST001851,TXN00001851,148.52,NOT_INITIATED,ORDER_CANCELLED,,,GW-14413016
REF00000127,ORD0001860,CUST001860,TXN00001860,982.72,NOT_INITIATED,RETURN,,,GW-22935591
REF00000128,ORD0001883,CUST001883,TXN00001883,2181.96,NOT_INITIATED,ORDER_CANCELLED,,,GW-10462465
REF00000129,ORD0001914,CUST001914,TXN00001914,440.42,NOT_INITIATED,RETURN,,,GW-91007281
REF00000130,ORD0001922,CUST001922,TXN00001922,367.86,NOT_INITIATED,ORDER_CANCELLED,,,GW-19065327
REF00000131,ORD0001979,CUST001979,TXN00001979,472.34,NOT_INITIATED,RETURN,,,GW-63092105
REF00000132,ORD0001996,CUST001996,TXN00001996,512.89,NOT_INITIATED,ORDER_CANCELLED,,,GW-49471331
REF00000133,ORD0002000,CUST002000,TXN00002000,478.42,NOT_INITIATED,ORDER_CANCELLED,,,GW-80002754
REF00000134,ORD0002010,CUST002010,TXN00002010,1130.43,NOT_INITIATED,ORDER_CANCELLED,,,GW-96874484
REF00000135,ORD0002050,CUST002050,TXN00002050,2043.19,NOT_INITIATED,ORDER_CANCELLED,,,GW-94381679
REF00000136,ORD0002061,CUST002061,TXN00002061,1517.76,NOT_INITIATED,RETURN,,,GW-12668772
REF00000137,ORD0002087,CUST002087,TXN00002087,141.67,NOT_INITIATED,RETURN,,,GW-68500500
REF00000138,ORD0002115,CUST002115,TXN00002115,511.71,NOT_INITIATED,RETURN,,,GW-44052253
REF00000139,ORD0002123,CUST002123,TXN00002123,301.91,NOT_INITIATED,ORDER_CANCELLED,,,GW-13360434
REF00000140,ORD0002125,CUST002125,TXN00002125,1324.64,NOT_INITIATED,RETURN,,,GW-33750581
REF00000141,ORD0002150,CUST002150,TXN00002150,1441.92,NOT_INITIATED,RETURN,,,GW-27885257
REF00000142,ORD0002155,CUST002155,TXN00002155,335.46,NOT_INITIATED,RETURN,,,GW-18832998
REF00000143,ORD0002164,CUST002164,TXN00002164,340.66,NOT_INITIATED,ORDER_CANCELLED,,,GW-80079168
REF00000144,ORD0002194,CUST002194,TXN00002194,1542.68,NOT_INITIATED,ORDER_CANCELLED,,,GW-94297440
REF00000145,ORD0002203,CUST002203,TXN00002203,1757.35,NOT_INITIATED,ORDER_CANCELLED,,,GW-47032362
REF00000146,ORD0002254,CUST002254,TXN00002254,113.71,NOT_INITIATED,ORDER_CANCELLED,,,GW-52060866
REF00000147,ORD0002282,CUST002282,TXN00002282,1059.39,NOT_INITIATED,RETURN,,,GW-67814425
REF00000148,ORD0002289,CUST002289,TXN00002289,1263.46,NOT_INITIATED,ORDER_CANCELLED,,,GW-69259508
REF00000149,ORD0002313,CUST002313,TXN00002313,629.58,NOT_INITIATED,RETURN,,,GW-76201502
REF00000150,ORD0002322,CUST002322,TXN00002322,447.42,NOT_INITIATED,RETURN,,,GW-45049910
REF00000151,ORD0002346,CUST002346,TXN00002346,377.23,NOT_INITIATED,RETURN,,,GW-67966682
REF00000152,ORD0002366,CUST002366,TXN00002366,931.02,NOT_INITIATED,RETURN,,,GW-96101688
REF00000153,ORD0002368,CUST002368,TXN00002368,2791.77,NOT_INITIATED,RETURN,,,GW-33121583
REF00000154,ORD0002380,CUST002380,TXN00002380,683.17,NOT_INITIATED,RETURN,,,GW-63166708
REF00000155,ORD0002383,CUST002383,TXN00002383,1047.76,NOT_INITIATED,RETURN,,,GW-89219618
REF00000156,ORD0002402,CUST002402,TXN00002402,457.73,NOT_INITIATED,RETURN,,,GW-95670429
REF00000157,ORD0002411,CUST002411,TXN00002411,331.96,NOT_INITIATED,ORDER_CANCELLED,,,GW-32963858
REF00000158,ORD0002414,CUST002414,TXN00002414,1591.49,NOT_INITIATED,ORDER_CANCELLED,,,GW-53108364
REF00000159,ORD0002441,CUST002441,TXN00002441,1741.95,NOT_INITIATED,RETURN,,,GW-86867385
REF00000160,ORD0002443,CUST002443,TXN00002443,2504.13,NOT_INITIATED,ORDER_CANCELLED,,,GW-58427402
REF00000161,ORD0002446,CUST002446,TXN00002446,1118.46,NOT_INITIATED,ORDER_CANCELLED,,,GW-48160431
REF00000162,ORD0002463,CUST002463,TXN00002463,342.3,NOT_INITIATED,RETURN,,,GW-18587366
REF00000163,ORD0002478,CUST002478,TXN00002478,73.76,NOT_INITIATED,ORDER_CANCELLED,,,GW-66496959
REF00000164,ORD0002485,CUST002485,TXN00002485,804.97,NOT_INITIATED,RETURN,,,GW-55280766
REF00000165,ORD0002500,CUST002500,TXN00002500,211.05,NOT_INITIATED,ORDER_CANCELLED,,,GW-95233683
REF00000166,ORD0002514,CUST002514,TXN00002514,282.5,NOT_INITIATED,ORDER_CANCELLED,,,GW-18894013
REF00000167,ORD0002535,CUST002535,TXN00002535,766.72,NOT_INITIATED,ORDER_CANCELLED,,,GW-96671622
REF00000168,ORD0002541,CUST002541,TXN00002541,1000.89,NOT_INITIATED,ORDER_CANCELLED,,,GW-66045674
REF00000169,ORD0002574,CUST002574,TXN00002574,242.71,NOT_INITIATED,RETURN,,,GW-38770344
REF00000170,ORD0002590,CUST002590,TXN00002590,405.67,NOT_INITIATED,RETURN,,,GW-65619780
REF00000171,ORD0002614,CUST002614,TXN00002614,458.41,NOT_INITIATED,RETURN,,,GW-69527677
REF00000172,ORD0002646,CUST002646,TXN00002646,400.17,NOT_INITIATED,RETURN,,,GW-88297449
REF00000173,ORD0002671,CUST002671,TXN00002671,1135.06,NOT_INITIATED,RETURN,,,GW-46019197
REF00000174,ORD0002708,CUST002708,TXN00002708,292.4,NOT_INITIATED,RETURN,,,GW-55482383
REF00000175,ORD0002732,CUST002732,TXN00002732,469.49,NOT_INITIATED,RETURN,,,GW-45074590
REF00000176,ORD0002755,CUST002755,TXN00002755,236.42,NOT_INITIATED,RETURN,,,GW-92821969
REF00000177,ORD0002757,CUST002757,TXN00002757,682.8,NOT_INITIATED,ORDER_CANCELLED,,,GW-37446983
REF00000178,ORD0002781,CUST002781,TXN00002781,1684.38,NOT_INITIATED,ORDER_CANCELLED,,,GW-92046860
REF00000179,ORD0002785,CUST002785,TXN00002785,1487.15,NOT_INITIATED,ORDER_CANCELLED,,,GW-28868607
REF00000180,ORD0002789,CUST002789,TXN00002789,1312.55,NOT_INITIATED,RETURN,,,GW-47652400
REF00000181,ORD0002807,CUST002807,TXN00002807,1230.72,NOT_INITIATED,ORDER_CANCELLED,,,GW-74499456
REF00000182,ORD0002832,CUST002832,TXN00002832,283.87,NOT_INITIATED,ORDER_CANCELLED,,,GW-39904251
REF00000183,ORD0002840,CUST002840,TXN00002840,103.46,NOT_INITIATED,RETURN,,,GW-51491265
REF00000184,ORD0002843,CUST002843,TXN00002843,1627.05,NOT_INITIATED,ORDER_CANCELLED,,,GW-50239819
REF00000185,ORD0002845,CUST002845,TXN00002845,399.85,NOT_INITIATED,RETURN,,,GW-36421875
REF00000186,ORD0002856,CUST002856,TXN00002856,769.88,NOT_INITIATED,RETURN,,,GW-54820406
REF00000187,ORD0002858,CUST002858,TXN00002858,1808.33,NOT_INITIATED,RETURN,,,GW-47909634
REF00000188,ORD0002878,CUST002878,TXN00002878,595.77,NOT_INITIATED,ORDER_CANCELLED,,,GW-19309634
REF00000189,ORD0002879,CUST002879,TXN00002879,752.61,NOT_INITIATED,RETURN,,,GW-20487460
REF00000190,ORD0002884,CUST002884,TXN00002884,1046.32,NOT_INITIATED,ORDER_CANCELLED,,,GW-55546940
REF00000191,ORD0002890,CUST002890,TXN00002890,2535.69,NOT_INITIATED,RETURN,,,GW-33782157
REF00000192,ORD0002920,CUST002920,TXN00002920,133.74,NOT_INITIATED,ORDER_CANCELLED,,,GW-70329483
REF00000193,ORD0002923,CUST002923,TXN00002923,1177.15,NOT_INITIATED,RETURN,,,GW-37585804
REF00000194,ORD0002937,CUST002937,TXN00002937,257.37,NOT_INITIATED,RETURN,,,GW-79717582
REF00000195,ORD0003000,CUST003000,TXN00003000,560.02,NOT_INITIATED,ORDER_CANCELLED,,,GW-78520855
REF00000196,ORD0003004,CUST003004,TXN00003004,395.18,NOT_INITIATED,ORDER_CANCELLED,,,GW-80032420
REF00000197,ORD0003008,CUST003008,TXN00003008,226.67,NOT_INITIATED,ORDER_CANCELLED,,,GW-25241143
REF00000198,ORD0003011,CUST003011,TXN00003011,1626.73,NOT_INITIATED,ORDER_CANCELLED,,,GW-39221159
REF00000199,ORD0003022,CUST003022,TXN00003022,1787.25,NOT_INITIATED,RETURN,,,GW-56022566
REF00000200,ORD0003023,CUST003023,TXN00003023,1874.19,NOT_INITIATED,ORDER_CANCELLED,,,GW-73499528
REF00000201,ORD0003040,CUST003040,TXN00003040,1936.24,NOT_INITIATED,RETURN,,,GW-40366343
REF00000202,ORD0003049,CUST003049,TXN00003049,639.31,NOT_INITIATED,ORDER_CANCELLED,,,GW-40399197
REF00000203,ORD0003057,CUST003057,TXN00003057,388.57,NOT_INITIATED,RETURN,,,GW-16153226
REF00000204,ORD0003061,CUST003061,TXN00003061,1143.68,NOT_INITIATED,ORDER_CANCELLED,,,GW-31016038
REF00000205,ORD0003073,CUST003073,TXN00003073,146.14,NOT_INITIATED,RETURN,,,GW-96731829
REF00000206,ORD0003075,CUST003075,TXN00003075,1783.94,NOT_INITIATED,RETURN,,,GW-74992396
REF00000207,ORD0003083,CUST003083,TXN00003083,587.67,NOT_INITIATED,RETURN,,,GW-58794788
REF00000208,ORD0003094,CUST003094,TXN00003094,80.23,NOT_INITIATED,ORDER_CANCELLED,,,GW-31158894
REF00000209,ORD0003095,CUST003095,TXN00003095,1652.23,NOT_INITIATED,RETURN,,,GW-88888750
REF00000210,ORD0003105,CUST003105,TXN00003105,14.36,NOT_INITIATED,RETURN,,,GW-70166957
REF00000211,ORD0003136,CUST003136,TXN00003136,650.62,NOT_INITIATED,RETURN,,,GW-26827519
REF00000212,ORD0003150,CUST003150,TXN00003150,887.93,NOT_INITIATED,ORDER_CANCELLED,,,GW-45794540
REF00000213,ORD0003158,CUST003158,TXN00003158,497.21,NOT_INITIATED,RETURN,,,GW-99332643
REF00000214,ORD0003204,CUST003204,TXN00003204,1273.44,NOT_INITIATED,ORDER_CANCELLED,,,GW-72686295
REF00000215,ORD0003207,CUST003207,TXN00003207,291.72,NOT_INITIATED,ORDER_CANCELLED,,,GW-45187115
REF00000216,ORD0003212,CUST003212,TXN00003212,1739.38,NOT_INITIATED,RETURN,,,GW-70976618
REF00000217,ORD0003223,CUST003223,TXN00003223,638.99,NOT_INITIATED,ORDER_CANCELLED,,,GW-94412799
REF00000218,ORD0003224,CUST003224,TXN00003224,1436.71,NOT_INITIATED,RETURN,,,GW-53307511
REF00000219,ORD0003226,CUST003226,TXN00003226,830.51,NOT_INITIATED,RETURN,,,GW-53690329
REF00000220,ORD0003267,CUST003267,TXN00003267,963.57,NOT_INITIATED,ORDER_CANCELLED,,,GW-86123753
REF00000221,ORD0003269,CUST003269,TXN00003269,2227.63,NOT_INITIATED,ORDER_CANCELLED,,,GW-47440110
REF00000222,ORD0003280,CUST003280,TXN00003280,459.27,NOT_INITIATED,RETURN,,,GW-31580467
REF00000223,ORD0003296,CUST003296,TXN00003296,1775.34,NOT_INITIATED,RETURN,,,GW-76709826
REF00000224,ORD0003300,CUST003300,TXN00003300,2198.37,NOT_INITIATED,RETURN,,,GW-91263559
REF00000225,ORD0003364,CUST003364,TXN00003364,388.29,NOT_INITIATED,ORDER_CANCELLED,,,GW-76443495
REF00000226,ORD0003383,CUST003383,TXN00003383,52.9,NOT_INITIATED,RETURN,,,GW-41145165
REF00000227,ORD0003406,CUST003406,TXN00003406,1851.73,NOT_INITIATED,RETURN,,,GW-79083626
REF00000228,ORD0003419,CUST003419,TXN00003419,403.39,NOT_INITIATED,RETURN,,,GW-48183625
REF00000229,ORD0003445,CUST003445,TXN00003445,28.69,NOT_INITIATED,ORDER_CANCELLED,,,GW-77742761
REF00000230,ORD0003453,CUST003453,TXN00003453,24.29,NOT_INITIATED,ORDER_CANCELLED,,,GW-37553165
REF00000231,ORD0003461,CUST003461,TXN00003461,1130.09,NOT_INITIATED,ORDER_CANCELLED,,,GW-26968581
REF00000232,ORD0003467,CUST003467,TXN00003467,1146.0,NOT_INITIATED,ORDER_CANCELLED,,,GW-75636648
REF00000233,ORD0003481,CUST003481,TXN00003481,2323.45,NOT_INITIATED,ORDER_CANCELLED,,,GW-45268027
REF00000234,ORD0003482,CUST003482,TXN00003482,577.75,NOT_INITIATED,ORDER_CANCELLED,,,GW-51903747
REF00000235,ORD0003484,CUST003484,TXN00003484,2254.75,NOT_INITIATED,ORDER_CANCELLED,,,GW-35349138
REF00000236,ORD0003515,CUST003515,TXN00003515,67.83,NOT_INITIATED,RETURN,,,GW-43730945
REF00000237,ORD0003534,CUST003534,TXN00003534,1536.43,NOT_INITIATED,ORDER_CANCELLED,,,GW-46384488
REF00000238,ORD0003541,CUST003541,TXN00003541,448.22,NOT_INITIATED,RETURN,,,GW-55299832
REF00000239,ORD0003547,CUST003547,TXN00003547,3116.42,NOT_INITIATED,ORDER_CANCELLED,,,GW-28331233
