DeliveryID,OrderID,TrackingID,DeliveryStatus,ExpectedDate,ActualDeliveryDate,Courier,DeliveryAttempts,DeliveryProof
DEL00000027,ORD0000027,TRK87149718,DELIVERED,2022-03-22,2022-03-17,Delhivery,1,Signature
DEL00000028,ORD0000028,TRK17897779,DELIVERED,2021-01-23,2021-01-22,Delhivery,1,Signature
DEL00000029,ORD0000029,TRK56555254,DELIVERED,2023-05-03,2023-05-01,BlueDart,1,Signature
DEL00000030,ORD0000030,TRK78351356,DELIVERED,2022-08-19,2022-08-17,BlueDart,1,OTP
DEL00000031,ORD0000031,TRK50195349,DELIVERED,2020-10-05,2020-10-05,XpressBees,1,OTP
DEL00000032,ORD0000032,TRK80088485,SHIPPED,2023-04-01,,DTDC,1,
DEL00000033,ORD0000033,TRK76648008,DELIVERED,2021-04-08,2021-04-05,Delhivery,1,OTP
DEL00000034,ORD0000034,TRK24574628,DELIVERED,2023-09-04,2023-09-02,Delhivery,1,Signature
DEL00000035,ORD0000035,TRK93560538,SHIPPED,2020-01-25,,BlueDart,1,
DEL00000036,ORD0000036,TRK42802069,DELIVERED,2020-09-13,2020-09-14,Delhivery,1,Signature
DEL00000037,ORD0000037,TRK45080132,DELIVERED,2022-01-23,2022-01-20,XpressBees,1,Photo
DEL00000038,ORD0000038,TRK21559847,DELIVERED,2022-05-11,2022-05-10,Ecom Express,1,Signature
DEL00000039,ORD0000039,TRK66614644,DELIVERED,2024-05-05,2024-05-08,XpressBees,1,OTP
DEL00000040,ORD0000040,TRK33416524,DELIVERED,2021-04-23,2021-04-23,BlueDart,1,OTP
DEL00000041,ORD0000041,TRK29262282,DELIVERED,2022-12-23,2022-12-20,XpressBees,1,Signature
DEL00000042,ORD0000042,TRK96180633,DELIVERED,2021-06-01,2021-05-26,Delhivery,1,Photo
DEL00000043,ORD0000043,TRK93628294,DELIVERED,2024-09-03,2024-09-05,BlueDart,1,Photo
DEL00000044,ORD0000044,TRK57844791,CANCELLED,2024-02-15,,Ecom Express,1,
DEL00000045,ORD0000045,TRK35038262,DELIVERED,2021-12-05,2021-12-07,BlueDart,1,Signature
DEL00000046,ORD0000046,TRK33241301,DELIVERED,2022-09-09,2022-09-04,XpressBees,1,OTP
DEL00000047,ORD0000047,TRK99821035,DELIVERED,2024-12-17,2024-12-16,XpressBees,1,OTP
DEL00000048,ORD0000048,TRK95166434,DELIVERED,2020-07-12,2020-07-12,DTDC,1,Signature
DEL00000049,ORD0000049,TRK57273005,DELIVERED,2022-08-17,2022-08-21,XpressBees,1,Signature
DEL00000050,ORD0000050,TRK17652860,DELIVERED,2021-11-22,2021-11-24,BlueDart,1,OTP
DEL00000051,ORD0000051,TRK20899523,DELIVERED,2022-08-17,2022-08-16,Ecom Express,1,OTP
DEL00000052,ORD0000052,TRK58131416,DELIVERED,2021-07-22,2021-07-19,DTDC,1,OTP
DEL00000053,ORD0000053,TRK23799997,SHIPPED,2024-05-12,,DTDC,1,
DEL00000054,ORD0000054,TRK76970146,DELIVERED,2023-06-26,2023-06-25,BlueDart,1,OTP
DEL00000055,ORD0000055,TRK83160261,DELIVERED,2022-04-15,2022-04-13,DTDC,1,OTP
DEL00000056,ORD0000056,TRK83693400,NOT_DISPATCHED,2024-03-15,,Delhivery,1,
DEL00000057,ORD0000057,TRK82220595,SHIPPED,2023-03-07,,Ecom Express,1,
DEL00000058,ORD0000058,TRK66091380,DELIVERED,2024-02-23,2024-02-22,BlueDart,1,Photo
DEL00000059,ORD0000059,TRK96176975,DELIVERED,2021-10-14,2021-10-11,XpressBees,1,OTP
DEL00000060,ORD0000060,TRK77675760,DELIVERED,2020-01-24,2020-01-28,Delhivery,1,OTP
DEL00000061,ORD0000061,TRK11162307,SHIPPED,2022-04-27,,DTDC,1,
DEL00000062,ORD0000062,TRK42491961,DELIVERED,2020-06-21,2020-06-22,BlueDart,1,Signature
DEL00000063,ORD0000063,TRK40808134,RETURNED,2023-07-28,,XpressBees,1,
DEL00000064,ORD0000064,TRK52523090,DELIVERED,2021-01-27,2021-01-24,XpressBees,1,Signature
DEL00000065,ORD0000065,TRK17161416,RETURNED,2021-08-29,,BlueDart,1,
DEL00000066,ORD0000066,TRK71855104,DELIVERED,2020-11-14,2020-11-18,DTDC,1,Photo
DEL00000067,ORD0000067,TRK71183864,DELIVERED,2020-01-17,2020-01-20,DTDC,1,Signature
DEL00000068,ORD0000068,TRK73214891,DELIVERED,2020-09-03,2020-09-05,XpressBees,1,OTP
DEL00000069,ORD0000069,TRK99115637,DELIVERED,2022-02-19,2022-02-19,XpressBees,1,OTP
DEL00000070,ORD0000070,TRK98835225,DELIVERED,2023-10-05,2023-10-08,Ecom Express,1,OTP
DEL00000071,ORD0000071,TRK29372240,DELIVERED,2021-07-24,2021-07-19,Delhivery,1,Photo
DEL00000072,ORD0000072,TRK61268256,SHIPPED,2022-06-19,,DTDC,1,
DEL00000073,ORD0000073,TRK91232813,SHIPPED,2023-09-29,,Delhivery,1,
DEL00000074,ORD0000074,TRK16941639,SHIPPED,2020-04-06,,BlueDart,1,
DEL00000075,ORD0000075,TRK19912345,SHIPPED,2023-10-26,,XpressBees,1,
DEL00000076,ORD0000076,TRK50540741,SHIPPED,2022-08-20,,Delhivery,1,
DEL00000077,ORD0000077,TRK65834184,DELIVERED,2024-01-25,2024-01-22,XpressBees,1,Signature
DEL00000078,ORD0000078,TRK48470417,DELIVERED,2023-12-26,2023-12-26,Delhivery,1,Signature
DEL00000079,ORD0000079,TRK40250164,DELIVERED,2021-05-28,2021-05-29,Ecom Express,1,OTP
DEL00000080,ORD0000080,TRK35210096,SHIPPED,2022-02-21,,Delhivery,1,
DEL00000081,ORD0000081,TRK53014802,DELIVERED,2020-02-09,2020-02-07,XpressBees,1,Signature
DEL00000082,ORD0000082,TRK53227756,SHIPPED,2020-07-28,,XpressBees,1,
DEL00000083,ORD0000083,TRK16016504,DELIVERED,2023-01-16,2023-01-16,BlueDart,1,Photo
DEL00000084,ORD0000084,TRK81032156,DELIVERED,2024-05-08,2024-05-11,XpressBees,1,OTP
DEL00000085,ORD0000085,TRK17147580,DELIVERED,2023-11-18,2023-11-13,Delhivery,1,Photo
DEL00000086,ORD0000086,TRK50982201,SHIPPED,2022-10-27,,DTDC,1,
DEL00000087,ORD0000087,TRK29092820,DELIVERED,2022-10-20,2022-10-21,DTDC,1,Photo
DEL00000088,ORD0000088,TRK23414714,DELIVERED,2023-11-18,2023-11-19,DTDC,1,Photo
DEL00000089,ORD0000089,TRK59643374,DELIVERED,2021-07-21,2021-07-20,Ecom Express,1,Signature
DEL00000090,ORD0000090,TRK37928153,NOT_DISPATCHED,2023-02-10,,BlueDart,1,
DEL00000091,ORD0000091,TRK69587362,DELIVERED,2024-12-03,2024-12-07,DTDC,1,Photo
DEL00000092,ORD0000092,TRK25847274,CANCELLED,2024-02-16,,BlueDart,1,
DEL00000093,ORD0000093,TRK47747044,SHIPPED,2021-12-10,,DTDC,1,
DEL00000094,ORD0000094,TRK63459731,SHIPPED,2021-02-08,,BlueDart,1,
DEL00000095,ORD0000095,TRK67528035,DELIVERED,2022-01-05,2022-01-05,BlueDart,1,Photo
DEL00000096,ORD0000096,TRK49802987,DELIVERED,2024-05-03,2024-05-01,Delhivery,1,OTP
DEL00000097,ORD0000097,TRK23224433,DELIVERED,2020-06-15,2020-06-11,XpressBees,1,Signature
DEL00000098,ORD0000098,TRK77035397,RETURNED,2020-07-25,,Delhivery,1,
DEL00000099,ORD0000099,TRK45598229,DELIVERED,2022-09-25,2022-09-24,Delhivery,1,OTP
DEL00000100,ORD0000100,TRK64974105,DELIVERED,2020-09-30,2020-10-02,DTDC,1,Photo
DEL00000101,ORD0000101,TRK29090400,DELIVERED,2022-04-02,2022-04-01,Ecom Express,1,Photo
DEL00000102,ORD0000102,TRK76229358,DELIVERED,2023-07-22,2023-07-19,Delhivery,1,Signature
DEL00000103,ORD0000103,TRK64365284,DELIVERED,2021-04-04,2021-04-01,DTDC,1,Signature
DEL00000104,ORD0000104,TRK61907592,DELIVERED,2024-01-30,2024-01-28,Ecom Express,1,Signature
DEL00000105,ORD0000105,TRK73574979,DELIVERED,2024-10-22,2024-10-18,DTDC,1,Photo
DEL00000106,ORD0000106,TRK84835562,DELIVERED,2023-07-03,2023-07-06,XpressBees,1,Photo
DEL00000107,ORD0000107,TRK21560205,NOT_DISPATCHED,2022-10-17,,XpressBees,1,
DEL00000108,ORD0000108,TRK24954016,DELIVERED,2024-09-26,2024-09-26,Ecom Express,1,Photo
DEL00000109,ORD0000109,TRK45200108,DELIVERED,2020-10-29,2020-10-25,Delhivery,1,Signature
DEL00000110,ORD0000110,TRK92435521,DELIVERED,2024-10-16,2024-10-20,BlueDart,1,Signature
DEL00000111,ORD0000111,TRK12708618,DELIVERED,2021-12-24,2021-12-25,BlueDart,1,OTP
DEL00000112,ORD0000112,TRK58933729,DELIVERED,2024-11-10,2024-11-11,BlueDart,1,Signature
DEL00000113,ORD0000113,TRK22046812,CANCELLED,2020-12-05,,BlueDart,1,
DEL00000114,ORD0000114,TRK42133127,SHIPPED,2022-06-01,,Ecom Express,1,
DEL00000115,ORD0000115,TRK19605607,DELIVERED,2022-12-16,2022-12-15,XpressBees,1,Photo
DEL00000116,ORD0000116,TRK33144385,SHIPPED,2022-03-09,,XpressBees,1,
DEL00000117,ORD0000117,TRK99523465,SHIPPED,2020-08-06,,BlueDart,1,
DEL00000118,ORD0000118,TRK45251914,DELIVERED,2022-02-07,2022-02-03,Ecom Express,1,Photo
DEL00000119,ORD0000119,TRK88226862,SHIPPED,2020-07-13,,XpressBees,1,
DEL00000120,ORD0000120,TRK66850052,DELIVERED,2021-01-16,2021-01-18,Ecom Express,1,Signature
DEL00000121,ORD0000121,TRK16581961,DELIVERED,2021-05-13,2021-05-14,BlueDart,1,OTP
DEL00000122,ORD0000122,TRK53569826,SHIPPED,2022-12-07,,Delhivery,1,
DEL00000123,ORD0000123,TRK34035782,DELIVERED,2023-04-02,2023-04-02,DTDC,1,Signature
DEL00000124,ORD0000124,TRK20634402,DELIVERED,2020-01-18,2020-01-20,BlueDart,1,OTP
DEL00000125,ORD0000125,TRK85616776,DELIVERED,2020-03-07,2020-03-07,BlueDart,1,OTP
DEL00000126,ORD0000126,TRK62331055,DELIVERED,2021-06-07,2021-06-06,Delhivery,1,OTP
DEL00000127,ORD0000127,TRK56709145,DELIVERED,2023-10-06,2023-10-04,Delhivery,1,Photo
DEL00000128,ORD0000128,TRK73471718,DELIVERED,2023-03-02,2023-03-01,Delhivery,1,OTP
DEL00000129,ORD0000129,TRK58354223,DELIVERED,2021-10-11,2021-10-11,DTDC,1,OTP
DEL00000130,ORD0000130,TRK46350991,DELIVERED,2024-02-08,2024-02-11,DTDC,1,Signature
DEL00000131,ORD0000131,TRK99418879,SHIPPED,2022-12-28,,XpressBees,1,
DEL00000132,ORD0000132,TRK41587133,RETURNED,2023-03-13,,DTDC,1,
DEL00000133,ORD0000133,TRK73767826,DELIVERED,2024-03-07,2024-03-06,XpressBees,1,Photo
DEL00000134,ORD0000134,TRK17529630,CANCELLED,2021-08-18,,DTDC,1,
DEL00000135,ORD0000135,TRK27247873,DELIVERED,2021-01-30,2021-02-02,Ecom Express,1,Photo
DEL00000136,ORD0000136,TRK20340623,SHIPPED,2024-08-28,,Delhivery,1,
DEL00000137,ORD0000137,TRK32275893,DELIVERED,2021-02-27,2021-02-24,Delhivery,1,Signature
DEL00000138,ORD0000138,TRK92300677,SHIPPED,2020-10-20,,Delhivery,1,
DEL00000139,ORD0000139,TRK59780803,DELIVERED,2021-01-16,2021-01-14,DTDC,1,Signature
DEL00000140,ORD0000140,TRK26759802,DELIVERED,2024-12-04,2024-12-07,BlueDart,1,Photo
DEL00000141,ORD0000141,TRK67614610,DELIVERED,2024-02-28,2024-02-26,XpressBees,1,Signature
DEL00000142,ORD0000142,TRK23659592,NOT_DISPATCHED,2020-08-24,,BlueDart,1,
DEL00000143,ORD0000143,TRK15004328,SHIPPED,2022-10-19,,DTDC,1,
DEL00000144,ORD0000144,TRK74867290,DELIVERED,2020-02-15,2020-02-13,DTDC,1,Photo
DEL00000145,ORD0000145,TRK39633723,DELIVERED,2022-11-20,2022-11-21,DTDC,1,OTP
DEL00000146,ORD0000146,TRK21704355,DELIVERED,2020-05-19,2020-05-17,XpressBees,1,Signature
DEL00000147,ORD0000147,TRK31573698,DELIVERED,2020-07-23,2020-07-22,Delhivery,1,Photo
DEL00000148,ORD0000148,TRK47326347,DELIVERED,2022-02-21,2022-02-19,Delhivery,1,OTP
DEL00000149,ORD0000149,TRK24763022,RETURNED,2022-07-24,,BlueDart,1,
DEL00000150,ORD0000150,TRK65848858,SHIPPED,2022-11-24,,XpressBees,1,
DEL00000151,ORD0000151,TRK14830723,DELIVERED,2022-12-11,2022-12-11,XpressBees,1,OTP
DEL00000152,ORD0000152,TRK42626269,DELIVERED,2021-05-19,2021-05-21,DTDC,1,Signature
DEL00000153,ORD0000153,TRK28868016,DELIVERED,2021-02-17,2021-02-13,Delhivery,1,Photo
DEL00000154,ORD0000154,TRK11605780,DELIVERED,2024-05-23,2024-05-18,Ecom Express,1,Photo
DEL00000155,ORD0000155,TRK72278340,DELIVERED,2024-10-23,2024-10-24,BlueDart,1,Photo
DEL00000156,ORD0000156,TRK24209512,DELIVERED,2022-03-20,2022-03-16,DTDC,1,OTP
DEL00000157,ORD0000157,TRK63524532,SHIPPED,2020-04-15,,DTDC,1,
DEL00000158,ORD0000158,TRK67665470,NOT_DISPATCHED,2021-11-21,,XpressBees,1,
DEL00000159,ORD0000159,TRK79955037,DELIVERED,2021-12-31,2021-12-29,XpressBees,1,OTP
DEL00000160,ORD0000160,TRK31727381,DELIVERED,2024-04-25,2024-04-26,Ecom Express,1,Photo
DEL00000161,ORD0000161,TRK82254969,DELIVERED,2022-08-21,2022-08-24,Delhivery,1,Signature
DEL00000162,ORD0000162,TRK82760406,DELIVERED,2024-11-03,2024-11-03,Delhivery,1,Signature
DEL00000163,ORD0000163,TRK64918771,DELIVERED,2021-09-11,2021-09-08,Ecom Express,1,OTP
DEL00000164,ORD0000164,TRK20269752,RETURNED,2024-01-29,,DTDC,1,
DEL00000165,ORD0000165,TRK38064733,DELIVERED,2021-10-08,2021-10-10,Delhivery,1,OTP
DEL00000166,ORD0000166,TRK67058275,DELIVERED,2024-12-04,2024-11-30,XpressBees,1,Signature
DEL00000167,ORD0000167,TRK65168159,DELIVERED,2022-10-31,2022-10-29,BlueDart,1,Photo
DEL00000168,ORD0000168,TRK26509370,SHIPPED,2023-06-01,,Delhivery,1,
DEL00000169,ORD0000169,TRK68058324,DELIVERED,2021-05-19,2021-05-19,BlueDart,1,OTP
DEL00000170,ORD0000170,TRK36222275,DELIVERED,2022-02-11,2022-02-11,XpressBees,1,Signature
DEL00000171,ORD0000171,TRK84027719,DELIVERED,2021-02-06,2021-02-08,BlueDart,1,OTP
DEL00000172,ORD0000172,TRK98582331,DELIVERED,2022-05-24,2022-05-25,DTDC,1,Photo
DEL00000173,ORD0000173,TRK53316313,DELIVERED,2022-03-09,2022-03-09,BlueDart,1,Photo
DEL00000174,ORD0000174,TRK59434110,DELIVERED,2021-02-02,2021-01-30,DTDC,1,OTP
DEL00000175,ORD0000175,TRK22763704,DELIVERED,2020-07-29,2020-08-01,BlueDart,1,Signature
DEL00000176,ORD0000176,TRK59464773,RETURNED,2022-11-08,,XpressBees,1,
DEL00000177,ORD0000177,TRK72443865,DELIVERED,2024-04-29,2024-04-28,BlueDart,1,OTP
DEL00000178,ORD0000178,TRK22597759,DELIVERED,2022-06-13,2022-06-12,Delhivery,1,OTP
DEL00000179,ORD0000179,TRK17282566,DELIVERED,2024-01-27,2024-01-26,XpressBees,1,OTP
DEL00000180,ORD0000180,TRK87006055,DELIVERED,2024-09-15,2024-09-17,XpressBees,1,OTP
DEL00000181,ORD0000181,TRK84610476,DELIVERED,2024-05-20,2024-05-19,BlueDart,1,OTP
DEL00000182,ORD0000182,TRK19790438,DELIVERED,2022-05-15,2022-05-16,Ecom Express,1,Signature
DEL00000183,ORD0000183,TRK20999703,RETURNED,2022-01-14,,Delhivery,1,
DEL00000184,ORD0000184,TRK49518346,SHIPPED,2023-06-25,,DTDC,1,
DEL00000185,ORD0000185,TRK60634020,SHIPPED,2021-07-23,,DTDC,1,
DEL00000186,ORD0000186,TRK47208014,NOT_DISPATCHED,2022-10-20,,Delhivery,1,
DEL00000187,ORD0000187,TRK18140912,DELIVERED,2020-04-12,2020-04-07,BlueDart,1,OTP
DEL00000188,ORD0000188,TRK42667623,DELIVERED,2024-10-29,2024-10-27,BlueDart,1,Photo
DEL00000189,ORD0000189,TRK45926459,SHIPPED,2021-05-02,,Delhivery,1,
DEL00000190,ORD0000190,TRK61067032,DELIVERED,2023-12-03,2023-12-08,XpressBees,1,Photo
DEL00000191,ORD0000191,TRK36508051,DELIVERED,2020-08-24,2020-08-25,DTDC,1,Photo
DEL00000192,ORD0000192,TRK15244743,DELIVERED,2022-01-22,2022-01-20,XpressBees,1,OTP
DEL00000193,ORD0000193,TRK65934238,DELIVERED,2024-08-08,2024-08-11,XpressBees,1,Photo
DEL00000194,ORD0000194,TRK25892453,DELIVERED,2023-04-16,2023-04-16,Ecom Express,1,Signature
DEL00000195,ORD0000195,TRK79070066,DELIVERED,2021-06-26,2021-06-25,Ecom Express,1,Photo
DEL00000196,ORD0000196,TRK11880453,DELIVERED,2022-11-27,2022-11-28,XpressBees,1,Photo
DEL00000197,ORD0000197,TRK79553416,DELIVERED,2021-06-12,2021-06-11,Delhivery,1,Photo
DEL00000198,ORD0000198,TRK17217372,DELIVERED,2023-04-02,2023-04-01,Ecom Express,1,OTP
DEL00000199,ORD0000199,TRK70082961,DELIVERED,2024-09-23,2024-09-24,XpressBees,1,OTP
DEL00000200,ORD0000200,TRK24716453,SHIPPED,2023-06-27,,Delhivery,1,
DEL00000201,ORD0000201,TRK60786408,DELIVERED,2023-01-16,2023-01-15,Delhivery,1,Signature
DEL00000202,ORD0000202,TRK14241398,DELIVERED,2024-12-27,2024-12-31,Delhivery,1,OTP
DEL00000203,ORD0000203,TRK50570336,DELIVERED,2021-08-05,2021-08-03,Delhivery,1,Signature
DEL00000204,ORD0000204,TRK95302711,RETURNED,2021-11-18,,Delhivery,1,
DEL00000205,ORD0000205,TRK28715359,DELIVERED,2021-07-17,2021-07-12,DTDC,1,OTP
DEL00000206,ORD0000206,TRK57400734,DELIVERED,2024-05-19,2024-05-21,Ecom Express,1,Signature
DEL00000207,ORD0000207,TRK58564916,DELIVERED,2022-10-11,2022-10-10,DTDC,1,Photo
DEL00000208,ORD0000208,TRK26393932,DELIVERED,2021-10-14,2021-10-08,DTDC,1,Photo
DEL00000209,ORD0000209,TRK10635086,DELIVERED,2022-03-12,2022-03-10,Delhivery,1,Signature
DEL00000210,ORD0000210,TRK79202152,SHIPPED,2022-11-24,,BlueDart,1,
DEL00000211,ORD0000211,TRK80417661,DELIVERED,2024-07-08,2024-07-04,DTDC,1,OTP
DEL00000212,ORD0000212,TRK20968259,DELIVERED,2024-04-30,2024-05-03,Ecom Express,1,Signature
DEL00000213,ORD0000213,TRK45937837,DELIVERED,2023-10-01,2023-09-29,XpressBees,1,OTP
DEL00000214,ORD0000214,TRK89745567,DELIVERED,2024-12-30,2025-01-02,Delhivery,1,Signature
DEL00000215,ORD0000215,TRK23920124,DELIVERED,2023-09-19,2023-09-18,Ecom Express,1,OTP
DEL00000216,ORD0000216,TRK37607549,DELIVERED,2024-07-25,2024-07-22,Delhivery,1,Signature
DEL00000217,ORD0000217,TRK93449444,DELIVERED,2024-03-14,2024-03-12,BlueDart,1,OTP
DEL00000218,ORD0000218,TRK54171717,DELIVERED,2023-10-08,2023-10-04,Delhivery,1,OTP
DEL00000219,ORD0000219,TRK14928696,DELIVERED,2024-02-07,2024-02-11,DTDC,1,OTP
DEL00000220,ORD0000220,TRK14982620,DELIVERED,2023-06-10,2023-06-14,XpressBees,1,Signature
DEL00000221,ORD0000221,TRK11580124,DELIVERED,2020-07-14,2020-07-12,Ecom Express,1,OTP
DEL00000222,ORD0000222,TRK17779662,DELIVERED,2023-06-07,2023-06-04,XpressBees,1,OTP
DEL00000223,ORD0000223,TRK62616807,SHIPPED,2023-11-16,,BlueDart,1,
DEL00000224,ORD0000224,TRK25719534,DELIVERED,2023-11-06,2023-11-08,BlueDart,1,Photo
DEL00000225,ORD0000225,TRK76336912,DELIVERED,2023-08-03,2023-08-06,BlueDart,1,Photo
DEL00000226,ORD0000226,TRK17011853,DELIVERED,2021-09-30,2021-09-28,XpressBees,1,Signature
DEL00000227,ORD0000227,TRK18582015,DELIVERED,2021-09-26,2021-09-21,BlueDart,1,Signature
DEL00000228,ORD0000228,TRK91771009,DELIVERED,2022-09-05,2022-09-01,DTDC,1,Signature
DEL00000229,ORD0000229,TRK69164572,SHIPPED,2024-11-08,,BlueDart,1,
DEL00000230,ORD0000230,TRK52038893,NOT_DISPATCHED,2023-07-08,,Ecom Express,1,
DEL00000231,ORD0000231,TRK98106755,SHIPPED,2023-10-18,,Ecom Express,1,
DEL00000232,ORD0000232,TRK61182338,DELIVERED,2021-12-15,2021-12-13,Ecom Express,1,Photo
DEL00000233,ORD0000233,TRK84602069,DELIVERED,2024-01-23,2024-01-20,DTDC,1,OTP
DEL00000234,ORD0000234,TRK47530373,SHIPPED,2023-12-11,,XpressBees,1,
DEL00000235,ORD0000235,TRK68624816,DELIVERED,2021-10-12,2021-10-15,BlueDart,1,Signature
DEL00000236,ORD0000236,TRK83355788,SHIPPED,2020-11-19,,XpressBees,1,
DEL00000237,ORD0000237,TRK27681981,DELIVERED,2024-09-03,2024-08-30,BlueDart,1,Photo
DEL00000238,ORD0000238,TRK15099975,DELIVERED,2023-06-04,2023-06-05,Delhivery,1,OTP
DEL00000239,ORD0000239,TRK98589618,DELIVERED,2023-06-13,2023-06-18,XpressBees,1,Signature
DEL00000240,ORD0000240,TRK42840947,DELIVERED,2021-11-17,2021-11-18,Ecom Express,1,OTP
DEL00000241,ORD0000241,TRK59323082,DELIVERED,2021-10-30,2021-10-28,BlueDart,1,Signature
DEL00000242,ORD0000242,TRK20976049,DELIVERED,2023-11-02,2023-11-02,Ecom Express,1,OTP
DEL00000243,ORD0000243,TRK74347189,DELIVERED,2024-08-25,2024-08-24,Ecom Express,1,Photo
DEL00000244,ORD0000244,TRK68027504,DELIVERED,2024-06-21,2024-06-20,Delhivery,1,Signature
DEL00000245,ORD0000245,TRK27635240,DELIVERED,2024-02-06,2024-02-10,Ecom Express,1,Signature
DEL00000246,ORD0000246,TRK14228292,DELIVERED,2023-06-16,2023-06-12,DTDC,1,OTP
DEL00000247,ORD0000247,TRK68873661,SHIPPED,2024-09-14,,BlueDart,1,
DEL00000248,ORD0000248,TRK57562120,DELIVERED,2023-02-14,2023-02-11,XpressBees,1,Signature
DEL00000249,ORD0000249,TRK68713285,DELIVERED,2024-03-04,2024-03-07,Ecom Express,1,Signature
DEL00000250,ORD0000250,TRK24897950,DELIVERED,2021-03-24,2021-03-21,Delhivery,1,Photo
DEL00000251,ORD0000251,TRK35134938,DELIVERED,2021-07-24,2021-07-18,DTDC,1,Signature
DEL00000252,ORD0000252,TRK84120266,NOT_DISPATCHED,2023-07-22,,Ecom Express,1,
DEL00000253,ORD0000253,TRK30285503,SHIPPED,2024-03-17,,Delhivery,1,
DEL00000254,ORD0000254,TRK99644311,DELIVERED,2023-11-12,2023-11-13,XpressBees,1,Signature
DEL00000255,ORD0000255,TRK67965274,NOT_DISPATCHED,2023-11-14,,Ecom Express,1,
DEL00000256,ORD0000256,TRK57828640,DELIVERED,2023-02-14,2023-02-15,XpressBees,1,OTP
DEL00000257,ORD0000257,TRK57666199,DELIVERED,2024-06-29,2024-06-29,BlueDart,1,OTP
DEL00000258,ORD0000258,TRK77998925,DELIVERED,2024-07-13,2024-07-08,Ecom Express,1,Signature
DEL00000259,ORD0000259,TRK71736087,DELIVERED,2022-08-15,2022-08-13,Ecom Express,1,OTP
DEL00000260,ORD0000260,TRK48707043,DELIVERED,2023-01-11,2023-01-12,Delhivery,1,Signature
DEL00000261,ORD0000261,TRK11001996,DELIVERED,2021-12-02,2021-12-05,Ecom Express,1,Signature
DEL00000262,ORD0000262,TRK33885240,DELIVERED,2020-04-28,2020-04-27,Delhivery,1,Photo
DEL00000263,ORD0000263,TRK54967463,DELIVERED,2020-01-07,2020-01-07,BlueDart,1,OTP
DEL00000264,ORD0000264,TRK54646923,DELIVERED,2021-10-06,2021-10-06,XpressBees,1,Signature
DEL00000265,ORD0000265,TRK80314664,DELIVERED,2020-08-11,2020-08-09,Delhivery,1,Photo
DEL00000266,ORD0000266,TRK21277866,DELIVERED,2024-05-10,2024-05-14,BlueDart,1,Signature
