case_id,customer_id,order_id,customer_message,domain,issue_type,support_category,product_name,product_category,transaction_amount,order_status,reported_at,channel,historical_csat,amount_band
CASE00000039,CUST000039,ORD0000039,Please tell me the current status of my order.,ORDER,Order status enquiry,Order Related,Microphone,Home & Kitchen,2030.8,Delivered,02/08/2023 22:08,Inbound,3,HIGH_VALUE
CASE00000040,CUST000040,ORD0000040,good ????,RETURN,Reverse Pickup Enquiry,Returns,Smartwatch,Books,159.11,Delivered,01/08/2023 08:09,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000041,CUST000041,ORD0000041,customer service number plz available,RETURN,Wrong,Returns,Desk Plant,Sports & Outdoors,733.87,Delivered,01/08/2023 09:56,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000042,CUST000042,ORD0000042,Please tell me the current status of my order.,ORDER,Order status enquiry,Order Related,Water Bottle,Books,2715.7,Delivered,01/08/2023 12:19,Inbound,5,HIGH_VALUE
CASE00000043,CUST000043,ORD0000043,Please tell me the current status of my order.,ORDER,Order status enquiry,Order Related,Kids Toy Car,Home & Kitchen,481.02,Delivered,01/08/2023 22:07,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000044,CUST000044,ORD0000044,Good,RETURN,Return request,Returns,Running Shoes,Toys & Games,268.9,Cancelled,01/08/2023 13:47,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000045,CUST000045,ORD0000045,I need help with my order.,RETURN,Service Centres Related,Returns,Desk Plant,Electronics,1627.59,Delivered,01/08/2023 16:46,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000046,CUST000046,ORD0000046,Respectful,ORDER,Order status enquiry,Order Related,Portable SSD 1TB,Toys & Games,858.99,Delivered,01/08/2023 21:20,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000047,CUST000047,ORD0000047,Very nice good,ORDER,Product Specific Information,Product Queries,Graphic Tablet,Electronics,489.55,Delivered,02/08/2023 14:40,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000048,CUST000048,ORD0000048,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Dress Shirt,Toys & Games,289.59,Delivered,31/07/2023 23:58,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000049,CUST000049,ORD0000049,Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue,RETURN,Service Centres Related,Returns,Drone Mini,Books,650.85,Delivered,01/08/2023 06:28,Inbound,3,AUTONOMOUS_ELIGIBLE
CASE00000050,CUST000050,ORD0000050,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Noise Cancelling Headphones,Books,1300.27,Delivered,01/08/2023 08:12,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000051,CUST000051,ORD0000051,I need help with my order.,RETURN,Fraudulent User,Returns,Memory Card 128GB,Books,558.94,Delivered,01/08/2023 16:17,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000052,CUST000052,ORD0000052,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Graphic Tablet,Electronics,1417.95,Delivered,30/07/2023 13:15,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000053,CUST000053,ORD0000053,Thanks,RETURN,Fraudulent User,Returns,Novel Bestseller,Electronics,716.85,Shipped,01/08/2023 12:02,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000054,CUST000054,ORD0000054,I need help with my order.,ORDER,Invoice request,Order Related,Children's Book,Sports & Outdoors,500.85,Delivered,01/08/2023 15:22,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000055,CUST000055,ORD0000055,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Power Bank 20000mAh,Electronics,2199.61,Delivered,02/08/2023 12:06,Outcall,5,HIGH_VALUE
CASE00000056,CUST000056,ORD0000056,Try to deliver the product on time,ORDER,Delayed,Order Related,Power Bank 20000mAh,Home & Kitchen,1236.26,Pending,01/08/2023 21:40,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000057,CUST000057,ORD0000057,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Water Bottle,Sports & Outdoors,1206.42,Shipped,01/08/2023 22:01,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000058,CUST000058,ORD0000058,Nice conversation good I will give rating for ?????,RETURN,Wrong,Returns,Laptop Sleeve,Clothing,970.47,Delivered,02/08/2023 08:00,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000059,CUST000059,ORD0000059,I received the wrong product.,RETURN,Wrong,Returns,Air Fryer,Toys & Games,442.39,Delivered,02/08/2023 10:53,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000060,CUST000060,ORD0000060,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Winter Jacket,Electronics,931.13,Delivered,02/08/2023 12:34,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000061,CUST000061,ORD0000061,Keep it up Shopzilla,RETURN,Reverse Pickup Enquiry,Returns,Router,Books,2668.29,Shipped,02/08/2023 17:52,Inbound,5,HIGH_VALUE
CASE00000062,CUST000062,ORD0000062,I am so happy,RETURN,Missing,Returns,Running Shoes,Home & Kitchen,472.26,Delivered,02/08/2023 19:35,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000063,CUST000063,ORD0000063,I need help with my order.,ORDER,Installation/demo,Order Related,USB-C Charger,Toys & Games,226.77,Returned,01/08/2023 09:50,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000064,CUST000064,ORD0000064,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Router,Books,547.13,Delivered,01/08/2023 18:50,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000065,CUST000065,ORD0000065,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,Graphic Tablet,Toys & Games,1871.76,Returned,01/08/2023 08:01,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000066,CUST000066,ORD0000066,I need help with my order.,RETURN,Service Centres Related,Returns,Router,Books,1068.18,Delivered,02/08/2023 15:48,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000067,CUST000067,ORD0000067,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Car Charger,Home & Kitchen,784.19,Delivered,01/08/2023 19:05,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000068,CUST000068,ORD0000068,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,4K Monitor,Clothing,561.98,Delivered,01/08/2023 12:08,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000069,CUST000069,ORD0000069,I need help with my order.,ORDER,Installation/demo,Order Related,Novel Bestseller,Books,565.38,Delivered,02/08/2023 06:35,Outcall,1,AUTONOMOUS_ELIGIBLE
CASE00000070,CUST000070,ORD0000070,I need help with my order.,ORDER,Priority delivery,Order Related,Webcam Full HD,Electronics,98.17,Delivered,02/08/2023 15:47,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000071,CUST000071,ORD0000071,Very bad agent,REFUND,Refund Related Issues,Refund Related,Water Bottle,Sports & Outdoors,1662.11,Delivered,02/08/2023 13:18,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000072,CUST000072,ORD0000072,I want to return my order. Please help me with the return process.,RETURN,Return request,Returns,Fitness Band,Home & Kitchen,457.08,Shipped,01/08/2023 14:32,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000073,CUST000073,ORD0000073,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Winter Jacket,Toys & Games,3160.43,Shipped,02/08/2023 11:05,Inbound,5,HIGH_VALUE
CASE00000074,CUST000074,ORD0000074,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Graphic Tablet,Home & Kitchen,1129.16,Shipped,02/08/2023 16:19,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000075,CUST000075,ORD0000075,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Smartwatch,Sports & Outdoors,756.18,Shipped,02/08/2023 20:01,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000076,CUST000076,ORD0000076,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Smartwatch,Clothing,2073.68,Shipped,01/08/2023 21:02,Inbound,5,HIGH_VALUE
CASE00000077,CUST000077,ORD0000077,Please tell me the current status of my order.,ORDER,Order status enquiry,Order Related,Sunglasses,Toys & Games,403.67,Delivered,01/08/2023 13:09,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000078,CUST000078,ORD0000078,I need help with my order.,ORDER,Invoice request,Order Related,Fitness Band,Electronics,598.25,Delivered,02/08/2023 14:45,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000079,CUST000079,ORD0000079,Ok,ORDER,Order status enquiry,Order Related,Portable SSD 1TB,Home & Kitchen,166.55,Delivered,02/08/2023 10:59,Outcall,2,AUTONOMOUS_ELIGIBLE
CASE00000080,CUST000080,ORD0000080,I am having an issue with my payment.,PAYMENT,Online Payment Issues,Payments related,Mechanical Keyboard,Electronics,553.06,Shipped,01/08/2023 11:03,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000081,CUST000081,ORD0000081,I need help with my order.,ORDER,Installation/demo,Order Related,Smartwatch,Toys & Games,816.6,Delivered,02/08/2023 18:20,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000082,CUST000082,ORD0000082,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Dress Shirt,Home & Kitchen,981.39,Shipped,01/08/2023 18:30,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000083,CUST000083,ORD0000083,Should take action fast..thank u,RETURN,Technician Visit,Returns,Air Fryer,Books,875.78,Delivered,02/08/2023 07:12,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000084,CUST000084,ORD0000084,Good talk,RETURN,Return request,Returns,Microphone,Sports & Outdoors,553.13,Delivered,02/08/2023 12:54,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000085,CUST000085,ORD0000085,I need help with my order.,RETURN,Fraudulent User,Returns,Smart Light Bulb,Electronics,2110.19,Delivered,02/08/2023 10:06,Inbound,5,HIGH_VALUE
CASE00000086,CUST000086,ORD0000086,I need help with my order.,ORDER,Installation/demo,Order Related,Electric Kettle,Sports & Outdoors,73.28,Shipped,02/08/2023 17:25,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000087,CUST000087,ORD0000087,There is an issue with my refund. Please investigate it.,REFUND,Refund Related Issues,Refund Related,Electric Kettle,Sports & Outdoors,147.96,Delivered,02/08/2023 20:28,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000088,CUST000088,ORD0000088,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Cookware Set,Electronics,2103.18,Delivered,29/07/2023 18:37,Inbound,5,HIGH_VALUE
CASE00000089,CUST000089,ORD0000089,My order is delayed. Please check the delivery status.,ORDER,Delayed,Order Related,T-Shirt,Books,845.24,Delivered,01/08/2023 11:02,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000090,CUST000090,ORD0000090,Please tell me the current status of my order.,ORDER,Order status enquiry,Order Related,Instant Pot,Books,1485.85,Pending,01/08/2023 12:02,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000091,CUST000091,ORD0000091,"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",RETURN,Reverse Pickup Enquiry,Returns,Air Fryer,Clothing,878.39,Delivered,01/08/2023 21:22,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000092,CUST000092,ORD0000092,I need help with my order.,ORDER,Invoice request,Order Related,Phone Tripod,Sports & Outdoors,2367.55,Cancelled,02/08/2023 12:23,Inbound,4,HIGH_VALUE
CASE00000093,CUST000093,ORD0000093,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Water Bottle,Home & Kitchen,589.66,Shipped,01/08/2023 12:34,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000094,CUST000094,ORD0000094,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Wireless Charger,Clothing,1948.45,Shipped,01/08/2023 20:32,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000095,CUST000095,ORD0000095,????,REFUND,Refund Related Issues,Refund Related,Phone Tripod,Electronics,165.79,Delivered,01/08/2023 07:23,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000096,CUST000096,ORD0000096,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,HDMI Cable 2m,Electronics,160.7,Delivered,01/08/2023 19:34,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000097,CUST000097,ORD0000097,Mr   was very helpful,ORDER,Not Needed,Cancellation,Wireless Charger,Books,1564.91,Delivered,02/08/2023 01:01,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000098,CUST000098,ORD0000098,"Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the late feedback. Bhai please call me.",RETURN,Damaged,Returns,Smart Light Bulb,Electronics,1129.99,Returned,02/08/2023 20:16,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000099,CUST000099,ORD0000099,Good,RETURN,Wrong,Returns,Jeans,Books,1777.75,Delivered,01/08/2023 09:29,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000100,CUST000100,ORD0000100,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Cookware Set,Electronics,231.78,Delivered,01/08/2023 19:39,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000101,CUST000101,ORD0000101,I want to replace the product.,RETURN,Exchange / Replacement,Returns,Vacuum Cleaner,Sports & Outdoors,1312.48,Delivered,02/08/2023 14:59,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000102,CUST000102,ORD0000102,Thankyou,RETURN,Return request,Returns,Drone Mini,Books,36.29,Delivered,01/08/2023 00:51,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000103,CUST000103,ORD0000103,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Phone Tripod,Home & Kitchen,321.39,Delivered,01/08/2023 21:46,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000104,CUST000104,ORD0000104,I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,ORDER,Order status enquiry,Order Related,Kids Toy Car,Toys & Games,2315.5,Delivered,02/08/2023 19:31,Inbound,1,HIGH_VALUE
CASE00000105,CUST000105,ORD0000105,I have an issue with the product I received.,RETURN,Product related Issues,Returns,Puzzle 1000pc,Electronics,316.88,Delivered,02/08/2023 09:58,Inbound,4,AUTONOMOUS_ELIGIBLE
CASE00000106,CUST000106,ORD0000106,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Electric Kettle,Toys & Games,113.21,Delivered,02/08/2023 18:54,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000107,CUST000107,ORD0000107,An item is missing from my order.,RETURN,Missing,Returns,Smart Light Bulb,Sports & Outdoors,954.09,Pending,02/08/2023 19:55,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000108,CUST000108,ORD0000108,Nice,RETURN,Reverse Pickup Enquiry,Returns,Desk Organizer,Clothing,526.8,Delivered,02/08/2023 22:10,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000109,CUST000109,ORD0000109,"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",RETURN,Reverse Pickup Enquiry,Returns,Laptop Sleeve,Sports & Outdoors,343.05,Delivered,02/08/2023 22:55,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000110,CUST000110,ORD0000110,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Cookware Set,Sports & Outdoors,2743.6,Delivered,01/08/2023 20:39,Inbound,5,HIGH_VALUE
CASE00000111,CUST000111,ORD0000111,I have not received my refund. Please check the refund status.,REFUND,Refund Enquiry,Refund Related,T-Shirt,Clothing,365.37,Delivered,02/08/2023 07:28,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000112,CUST000112,ORD0000112,An item is missing from my order.,RETURN,Missing,Returns,Water Bottle,Books,1860.74,Delivered,01/08/2023 18:21,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000113,CUST000113,ORD0000113,I have not received my refund. Please check the refund status.,REFUND,Refund Enquiry,Refund Related,Yoga Mat,Sports & Outdoors,610.76,Cancelled,01/08/2023 15:39,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000114,CUST000114,ORD0000114,I need help with my order.,RETURN,Fraudulent User,Returns,Smart Light Bulb,Clothing,165.81,Shipped,02/08/2023 19:13,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000115,CUST000115,ORD0000115,Thank you   for your valuable time & support,RETURN,Wrong,Returns,Noise Cancelling Headphones,Home & Kitchen,548.63,Delivered,02/08/2023 22:35,Outcall,5,AUTONOMOUS_ELIGIBLE
CASE00000116,CUST000116,ORD0000116,Good night,ORDER,Order status enquiry,Order Related,Backpack,Sports & Outdoors,1490.63,Shipped,01/08/2023 20:48,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000117,CUST000117,ORD0000117,No,RETURN,Fraudulent User,Returns,Projector Mini,Clothing,65.31,Shipped,01/08/2023 21:07,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000118,CUST000118,ORD0000118,I need help with my order.,ORDER,Customer Requested Modifications,Order Related,Gaming Mouse,Sports & Outdoors,1263.06,Delivered,01/08/2023 21:37,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000119,CUST000119,ORD0000119,I want to know what is happening with my return pickup.,RETURN,Reverse Pickup Enquiry,Returns,Portable SSD 1TB,Home & Kitchen,932.17,Shipped,02/08/2023 07:12,Outcall,4,AUTONOMOUS_ELIGIBLE
CASE00000120,CUST000120,ORD0000120,Thank you so much,RETURN,Reverse Pickup Enquiry,Returns,Novel Bestseller,Books,851.39,Delivered,02/08/2023 08:11,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000121,CUST000121,ORD0000121,?? no,RETURN,Service Centres Related,Returns,Electric Kettle,Toys & Games,1110.2,Delivered,01/08/2023 00:17,Inbound,1,AUTONOMOUS_ELIGIBLE
CASE00000122,CUST000122,ORD0000122,An item is missing from my order.,RETURN,Missing,Returns,4K Monitor,Sports & Outdoors,1117.28,Shipped,01/08/2023 11:43,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000123,CUST000123,ORD0000123,I need help with my order.,RETURN,Fraudulent User,Returns,Novel Bestseller,Home & Kitchen,24.62,Delivered,02/08/2023 16:41,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000124,CUST000124,ORD0000124,Please provide customer support in regional language like Bengali,RETURN,Reverse Pickup Enquiry,Returns,HDMI Cable 2m,Clothing,78.74,Delivered,02/08/2023 19:14,Inbound,5,AUTONOMOUS_ELIGIBLE
CASE00000125,CUST000125,ORD0000125,Delete in Shopzilla account,RETURN,Technician Visit,Returns,Backpack,Sports & Outdoors,1066.61,Delivered,31/07/2023 23:44,Inbound,1,AUTONOMOUS_ELIGIBLE
