ReturnID,OrderID,CustomerID,ReturnStatus,ReturnReason,RequestedDate,ApprovedDate
RET00000045,ORD0001061,CUST001061,RECEIVED,Not needed,2020-12-25,2020-12-25
RET00000046,ORD0001068,CUST001068,COMPLETED,Wrong item,2020-04-02,2020-04-02
RET00000047,ORD0001167,CUST001167,RECEIVED,Wrong item,2020-04-20,2020-04-20
RET00000048,ORD0001198,CUST001198,COMPLETED,Damaged item,2022-04-22,2022-04-22
RET00000049,ORD0001244,CUST001244,RECEIVED,Not needed,2021-06-15,2021-06-15
RET00000050,ORD0001253,CUST001253,COMPLETED,Not needed,2020-05-18,2020-05-18
RET00000051,ORD0001266,CUST001266,PICKUP_SCHEDULED,Missing item,2023-04-06,2023-04-06
RET00000052,ORD0001284,CUST001284,COMPLETED,Wrong item,2021-01-10,2021-01-10
RET00000053,ORD0001352,CUST001352,REQUESTED,Product issue,2020-06-05,
RET00000054,ORD0001371,CUST001371,REQUESTED,Product issue,2022-03-25,
RET00000055,ORD0001379,CUST001379,REQUESTED,Damaged item,2023-07-08,
RET00000056,ORD0001399,CUST001399,COMPLETED,Wrong item,2023-03-03,2023-03-03
RET00000057,ORD0001433,CUST001433,COMPLETED,Damaged item,2022-11-18,2022-11-18
RET00000058,ORD0001444,CUST001444,COMPLETED,Missing item,2023-10-01,2023-10-01
RET00000059,ORD0001486,CUST001486,PICKUP_SCHEDULED,Not needed,2021-12-10,2021-12-10
RET00000060,ORD0001507,CUST001507,COMPLETED,Product issue,2022-12-22,2022-12-22
RET00000061,ORD0001537,CUST001537,COMPLETED,Wrong item,2020-07-12,2020-07-12
RET00000062,ORD0001557,CUST001557,COMPLETED,Wrong item,2020-02-24,2020-02-24
RET00000063,ORD0001603,CUST001603,APPROVED,Not needed,2020-05-26,2020-05-26
RET00000064,ORD0001650,CUST001650,PICKUP_SCHEDULED,Not needed,2021-07-05,2021-07-05
RET00000065,ORD0001655,CUST001655,APPROVED,Missing item,2024-11-16,2024-11-16
RET00000066,ORD0001680,CUST001680,RECEIVED,Damaged item,2023-11-02,2023-11-02
RET00000067,ORD0001725,CUST001725,APPROVED,Product issue,2023-06-04,2023-06-04
RET00000068,ORD0001729,CUST001729,PICKUP_SCHEDULED,Missing item,2021-09-14,2021-09-14
RET00000069,ORD0001740,CUST001740,RECEIVED,Not needed,2024-01-30,2024-01-30
RET00000070,ORD0001792,CUST001792,APPROVED,Not needed,2024-02-17,2024-02-17
RET00000071,ORD0001825,CUST001825,APPROVED,Missing item,2021-12-27,2021-12-27
RET00000072,ORD0001832,CUST001832,RECEIVED,Product issue,2022-09-21,2022-09-21
RET00000073,ORD0001841,CUST001841,RECEIVED,Not needed,2022-09-21,2022-09-21
RET00000074,ORD0001860,CUST001860,REQUESTED,Product issue,2023-11-21,
RET00000075,ORD0001914,CUST001914,REQUESTED,Damaged item,2021-12-05,
RET00000076,ORD0001979,CUST001979,REQUESTED,Product issue,2022-02-19,
RET00000077,ORD0002061,CUST002061,COMPLETED,Product issue,2020-01-07,2020-01-07
RET00000078,ORD0002087,CUST002087,RECEIVED,Missing item,2023-02-10,2023-02-10
RET00000079,ORD0002115,CUST002115,RECEIVED,Damaged item,2022-07-04,2022-07-04
RET00000080,ORD0002125,CUST002125,COMPLETED,Damaged item,2022-06-04,2022-06-04
RET00000081,ORD0002150,CUST002150,COMPLETED,Wrong item,2022-08-04,2022-08-04
RET00000082,ORD0002155,CUST002155,RECEIVED,Not needed,2023-12-24,2023-12-24
RET00000083,ORD0002282,CUST002282,PICKUP_SCHEDULED,Wrong item,2023-08-26,2023-08-26
RET00000084,ORD0002313,CUST002313,APPROVED,Damaged item,2020-01-09,2020-01-09
RET00000085,ORD0002322,CUST002322,COMPLETED,Damaged item,2023-07-11,2023-07-11
RET00000086,ORD0002346,CUST002346,RECEIVED,Not needed,2022-08-28,2022-08-28
RET00000087,ORD0002366,CUST002366,REQUESTED,Not needed,2020-10-14,
RET00000088,ORD0002368,CUST002368,COMPLETED,Wrong item,2024-06-05,2024-06-05
RET00000089,ORD0002380,CUST002380,PICKUP_SCHEDULED,Wrong item,2022-01-24,2022-01-24
RET00000090,ORD0002383,CUST002383,REQUESTED,Product issue,2020-04-02,
RET00000091,ORD0002402,CUST002402,APPROVED,Missing item,2024-05-04,2024-05-04
RET00000092,ORD0002441,CUST002441,RECEIVED,Missing item,2021-06-09,2021-06-09
RET00000093,ORD0002463,CUST002463,REQUESTED,Wrong item,2020-03-06,
RET00000094,ORD0002485,CUST002485,REQUESTED,Damaged item,2023-10-16,
RET00000095,ORD0002574,CUST002574,RECEIVED,Missing item,2020-11-06,2020-11-06
RET00000096,ORD0002590,CUST002590,RECEIVED,Missing item,2022-10-21,2022-10-21
RET00000097,ORD0002614,CUST002614,APPROVED,Wrong item,2022-08-28,2022-08-28
RET00000098,ORD0002646,CUST002646,REQUESTED,Product issue,2024-02-05,
RET00000099,ORD0002671,CUST002671,RECEIVED,Product issue,2023-03-23,2023-03-23
RET00000100,ORD0002708,CUST002708,REQUESTED,Not needed,2022-08-21,
RET00000101,ORD0002732,CUST002732,RECEIVED,Not needed,2023-10-06,2023-10-06
RET00000102,ORD0002755,CUST002755,PICKUP_SCHEDULED,Not needed,2022-06-09,2022-06-09
RET00000103,ORD0002789,CUST002789,APPROVED,Product issue,2024-08-26,2024-08-26
RET00000104,ORD0002840,CUST002840,COMPLETED,Product issue,2023-04-05,2023-04-05
RET00000105,ORD0002845,CUST002845,PICKUP_SCHEDULED,Wrong item,2024-10-30,2024-10-30
RET00000106,ORD0002856,CUST002856,REQUESTED,Missing item,2021-07-14,
RET00000107,ORD0002858,CUST002858,COMPLETED,Not needed,2024-07-23,2024-07-23
RET00000108,ORD0002879,CUST002879,REQUESTED,Not needed,2021-09-05,
RET00000109,ORD0002890,CUST002890,REQUESTED,Not needed,2024-02-09,
RET00000110,ORD0002923,CUST002923,COMPLETED,Damaged item,2023-01-12,2023-01-12
RET00000111,ORD0002937,CUST002937,APPROVED,Wrong item,2024-08-04,2024-08-04
RET00000112,ORD0003022,CUST003022,REQUESTED,Missing item,2023-01-07,
RET00000113,ORD0003040,CUST003040,PICKUP_SCHEDULED,Damaged item,2020-09-10,2020-09-10
RET00000114,ORD0003057,CUST003057,REQUESTED,Product issue,2024-01-26,
RET00000115,ORD0003073,CUST003073,REQUESTED,Missing item,2023-07-07,
RET00000116,ORD0003075,CUST003075,RECEIVED,Wrong item,2024-06-26,2024-06-26
RET00000117,ORD0003083,CUST003083,RECEIVED,Wrong item,2022-03-30,2022-03-30
RET00000118,ORD0003095,CUST003095,APPROVED,Damaged item,2021-04-27,2021-04-27
RET00000119,ORD0003105,CUST003105,APPROVED,Missing item,2021-05-24,2021-05-24
RET00000120,ORD0003136,CUST003136,COMPLETED,Damaged item,2020-11-03,2020-11-03
RET00000121,ORD0003158,CUST003158,COMPLETED,Not needed,2021-09-16,2021-09-16
RET00000122,ORD0003212,CUST003212,RECEIVED,Missing item,2023-06-05,2023-06-05
RET00000123,ORD0003224,CUST003224,RECEIVED,Not needed,2022-02-11,2022-02-11
RET00000124,ORD0003226,CUST003226,PICKUP_SCHEDULED,Wrong item,2023-10-07,2023-10-07
RET00000125,ORD0003280,CUST003280,REQUESTED,Wrong item,2024-08-15,
RET00000126,ORD0003296,CUST003296,COMPLETED,Wrong item,2024-04-16,2024-04-16
RET00000127,ORD0003300,CUST003300,COMPLETED,Missing item,2021-05-11,2021-05-11
RET00000128,ORD0003383,CUST003383,APPROVED,Product issue,2020-04-21,2020-04-21
RET00000129,ORD0003406,CUST003406,COMPLETED,Missing item,2023-05-19,2023-05-19
RET00000130,ORD0003419,CUST003419,PICKUP_SCHEDULED,Damaged item,2024-02-01,2024-02-01
RET00000131,ORD0003515,CUST003515,COMPLETED,Wrong item,2021-12-10,2021-12-10
RET00000132,ORD0003541,CUST003541,APPROVED,Product issue,2021-09-03,2021-09-03
RET00000133,ORD0003570,CUST003570,COMPLETED,Missing item,2024-10-18,2024-10-18
RET00000134,ORD0003607,CUST003607,APPROVED,Not needed,2024-05-23,2024-05-23
RET00000135,ORD0003608,CUST003608,COMPLETED,Not needed,2023-02-28,2023-02-28
RET00000136,ORD0003630,CUST003630,APPROVED,Damaged item,2024-08-14,2024-08-14
RET00000137,ORD0003704,CUST003704,RECEIVED,Product issue,2024-04-26,2024-04-26
RET00000138,ORD0003718,CUST003718,COMPLETED,Missing item,2021-05-18,2021-05-18
RET00000139,ORD0003728,CUST003728,COMPLETED,Product issue,2022-12-31,2022-12-31
RET00000140,ORD0003739,CUST003739,RECEIVED,Not needed,2023-07-15,2023-07-15
RET00000141,ORD0003782,CUST003782,RECEIVED,Damaged item,2023-01-30,2023-01-30
RET00000142,ORD0003886,CUST003886,RECEIVED,Not needed,2023-11-25,2023-11-25
RET00000143,ORD0003915,CUST003915,APPROVED,Missing item,2020-10-07,2020-10-07
RET00000144,ORD0003924,CUST003924,COMPLETED,Not needed,2024-07-03,2024-07-03
RET00000145,ORD0003948,CUST003948,COMPLETED,Not needed,2023-12-31,2023-12-31
RET00000146,ORD0004006,CUST004006,COMPLETED,Product issue,2021-04-24,2021-04-24
RET00000147,ORD0004008,CUST004008,REQUESTED,Not needed,2022-10-28,
RET00000148,ORD0004051,CUST004051,APPROVED,Wrong item,2024-08-15,2024-08-15
RET00000149,ORD0004067,CUST004067,RECEIVED,Wrong item,2022-05-16,2022-05-16
RET00000150,ORD0004164,CUST004164,RECEIVED,Missing item,2023-11-02,2023-11-02
RET00000151,ORD0004180,CUST004180,COMPLETED,Missing item,2023-11-01,2023-11-01
RET00000152,ORD0004304,CUST004304,COMPLETED,Missing item,2021-04-29,2021-04-29
RET00000153,ORD0004318,CUST004318,APPROVED,Wrong item,2020-03-17,2020-03-17
RET00000154,ORD0004332,CUST004332,APPROVED,Missing item,2021-11-04,2021-11-04
RET00000155,ORD0004426,CUST004426,COMPLETED,Not needed,2021-02-02,2021-02-02
RET00000156,ORD0004443,CUST004443,REQUESTED,Missing item,2020-06-11,
RET00000157,ORD0004450,CUST004450,REQUESTED,Wrong item,2022-05-30,
RET00000158,ORD0004512,CUST004512,APPROVED,Not needed,2021-06-30,2021-06-30
RET00000159,ORD0004517,CUST004517,PICKUP_SCHEDULED,Product issue,2023-07-12,2023-07-12
RET00000160,ORD0004716,CUST004716,RECEIVED,Product issue,2020-01-31,2020-01-31
RET00000161,ORD0004720,CUST004720,COMPLETED,Damaged item,2020-11-24,2020-11-24
RET00000162,ORD0004734,CUST004734,COMPLETED,Not needed,2022-11-17,2022-11-17
RET00000163,ORD0004771,CUST004771,APPROVED,Missing item,2020-01-17,2020-01-17
RET00000164,ORD0004781,CUST004781,REQUESTED,Product issue,2023-04-26,
RET00000165,ORD0004784,CUST004784,RECEIVED,Product issue,2020-04-28,2020-04-28
RET00000166,ORD0004797,CUST004797,COMPLETED,Missing item,2020-06-23,2020-06-23
RET00000167,ORD0004801,CUST004801,RECEIVED,Missing item,2023-12-15,2023-12-15
RET00000168,ORD0004855,CUST004855,RECEIVED,Product issue,2022-09-06,2022-09-06
RET00000169,ORD0004976,CUST004976,RECEIVED,Damaged item,2023-10-09,2023-10-09
RET00000170,ORD0004996,CUST004996,RECEIVED,Product issue,2020-07-05,2020-07-05
RET00000171,ORD0005007,CUST005007,RECEIVED,Not needed,2024-06-24,2024-06-24
RET00000172,ORD0005047,CUST005047,COMPLETED,Wrong item,2024-06-17,2024-06-17
RET00000173,ORD0005053,CUST005053,COMPLETED,Not needed,2021-12-18,2021-12-18
RET00000174,ORD0005082,CUST005082,APPROVED,Product issue,2024-05-22,2024-05-22
RET00000175,ORD0005138,CUST005138,RECEIVED,Damaged item,2021-04-15,2021-04-15
RET00000176,ORD0005177,CUST005177,PICKUP_SCHEDULED,Damaged item,2022-05-18,2022-05-18
RET00000177,ORD0005183,CUST005183,PICKUP_SCHEDULED,Damaged item,2023-11-06,2023-11-06
RET00000178,ORD0005201,CUST005201,COMPLETED,Damaged item,2020-02-01,2020-02-01
RET00000179,ORD0005289,CUST005289,COMPLETED,Missing item,2022-06-20,2022-06-20
RET00000180,ORD0005317,CUST005317,PICKUP_SCHEDULED,Wrong item,2022-11-11,2022-11-11
RET00000181,ORD0005382,CUST005382,REQUESTED,Wrong item,2021-07-22,
RET00000182,ORD0005434,CUST005434,RECEIVED,Product issue,2022-03-12,2022-03-12
RET00000183,ORD0005441,CUST005441,COMPLETED,Missing item,2021-04-25,2021-04-25
RET00000184,ORD0005506,CUST005506,COMPLETED,Wrong item,2021-10-05,2021-10-05
RET00000185,ORD0005577,CUST005577,COMPLETED,Damaged item,2023-10-24,2023-10-24
RET00000186,ORD0005612,CUST005612,COMPLETED,Product issue,2020-05-14,2020-05-14
RET00000187,ORD0005617,CUST005617,APPROVED,Missing item,2022-09-14,2022-09-14
RET00000188,ORD0005645,CUST005645,RECEIVED,Damaged item,2020-03-09,2020-03-09
RET00000189,ORD0005646,CUST005646,COMPLETED,Missing item,2023-02-26,2023-02-26
RET00000190,ORD0005654,CUST005654,APPROVED,Product issue,2024-08-15,2024-08-15
RET00000191,ORD0005664,CUST005664,REQUESTED,Missing item,2023-11-13,
RET00000192,ORD0005693,CUST005693,RECEIVED,Product issue,2022-06-13,2022-06-13
RET00000193,ORD0005697,CUST005697,APPROVED,Not needed,2023-06-16,2023-06-16
RET00000194,ORD0005794,CUST005794,REQUESTED,Product issue,2020-07-11,
RET00000195,ORD0005846,CUST005846,RECEIVED,Missing item,2021-06-17,2021-06-17
RET00000196,ORD0005854,CUST005854,REQUESTED,Product issue,2020-04-25,
RET00000197,ORD0005891,CUST005891,RECEIVED,Damaged item,2020-12-13,2020-12-13
RET00000198,ORD0005906,CUST005906,COMPLETED,Missing item,2022-03-17,2022-03-17
RET00000199,ORD0005911,CUST005911,REQUESTED,Damaged item,2023-10-10,
RET00000200,ORD0005953,CUST005953,RECEIVED,Wrong item,2021-01-20,2021-01-20
RET00000201,ORD0005972,CUST005972,APPROVED,Missing item,2022-01-05,2022-01-05
RET00000202,ORD0005981,CUST005981,RECEIVED,Missing item,2020-03-01,2020-03-01
RET00000203,ORD0005988,CUST005988,COMPLETED,Not needed,2024-12-09,2024-12-09
RET00000204,ORD0006002,CUST006002,COMPLETED,Damaged item,2022-04-17,2022-04-17
RET00000205,ORD0006031,CUST006031,RECEIVED,Damaged item,2024-11-25,2024-11-25
RET00000206,ORD0006036,CUST006036,COMPLETED,Wrong item,2023-07-05,2023-07-05
RET00000207,ORD0006059,CUST006059,REQUESTED,Wrong item,2024-08-05,
RET00000208,ORD0006104,CUST006104,COMPLETED,Damaged item,2021-07-26,2021-07-26
RET00000209,ORD0006119,CUST006119,REQUESTED,Wrong item,2022-06-19,
RET00000210,ORD0006136,CUST006136,PICKUP_SCHEDULED,Wrong item,2021-11-24,2021-11-24
RET00000211,ORD0006177,CUST006177,PICKUP_SCHEDULED,Product issue,2023-08-12,2023-08-12
RET00000212,ORD0006181,CUST006181,RECEIVED,Product issue,2020-06-14,2020-06-14
RET00000213,ORD0006204,CUST006204,PICKUP_SCHEDULED,Not needed,2021-10-01,2021-10-01
RET00000214,ORD0006212,CUST006212,RECEIVED,Missing item,2021-06-02,2021-06-02
RET00000215,ORD0006221,CUST006221,PICKUP_SCHEDULED,Damaged item,2023-05-23,2023-05-23
RET00000216,ORD0006229,CUST006229,COMPLETED,Wrong item,2023-06-11,2023-06-11
RET00000217,ORD0006265,CUST006265,APPROVED,Not needed,2022-07-16,2022-07-16
RET00000218,ORD0006283,CUST006283,APPROVED,Wrong item,2021-10-11,2021-10-11
RET00000219,ORD0006310,CUST006310,COMPLETED,Missing item,2020-07-10,2020-07-10
RET00000220,ORD0006320,CUST006320,RECEIVED,Wrong item,2023-03-14,2023-03-14
RET00000221,ORD0006330,CUST006330,RECEIVED,Missing item,2020-07-02,2020-07-02
RET00000222,ORD0006352,CUST006352,REQUESTED,Wrong item,2023-05-26,
RET00000223,ORD0006402,CUST006402,APPROVED,Wrong item,2024-01-14,2024-01-14
RET00000224,ORD0006410,CUST006410,COMPLETED,Missing item,2021-08-30,2021-08-30
RET00000225,ORD0006452,CUST006452,COMPLETED,Wrong item,2020-12-02,2020-12-02
RET00000226,ORD0006475,CUST006475,PICKUP_SCHEDULED,Missing item,2023-07-19,2023-07-19
RET00000227,ORD0006485,CUST006485,COMPLETED,Product issue,2021-08-30,2021-08-30
RET00000228,ORD0006496,CUST006496,COMPLETED,Wrong item,2024-05-09,2024-05-09
RET00000229,ORD0006499,CUST006499,REQUESTED,Missing item,2024-01-30,
RET00000230,ORD0006537,CUST006537,RECEIVED,Missing item,2020-04-16,2020-04-16
RET00000231,ORD0006548,CUST006548,APPROVED,Wrong item,2021-02-19,2021-02-19
RET00000232,ORD0006556,CUST006556,RECEIVED,Damaged item,2020-12-07,2020-12-07
RET00000233,ORD0006573,CUST006573,APPROVED,Product issue,2022-12-22,2022-12-22
RET00000234,ORD0006618,CUST006618,APPROVED,Damaged item,2021-04-16,2021-04-16
RET00000235,ORD0006730,CUST006730,COMPLETED,Missing item,2023-06-14,2023-06-14
RET00000236,ORD0006740,CUST006740,REQUESTED,Not needed,2024-05-13,
RET00000237,ORD0006782,CUST006782,PICKUP_SCHEDULED,Missing item,2021-11-24,2021-11-24
RET00000238,ORD0006809,CUST006809,RECEIVED,Damaged item,2020-03-12,2020-03-12
RET00000239,ORD0006838,CUST006838,REQUESTED,Product issue,2022-02-23,
RET00000240,ORD0006863,CUST006863,RECEIVED,Not needed,2020-05-24,2020-05-24
RET00000241,ORD0006899,CUST006899,PICKUP_SCHEDULED,Wrong item,2024-04-29,2024-04-29
RET00000242,ORD0006903,CUST006903,RECEIVED,Damaged item,2024-03-07,2024-03-07
RET00000243,ORD0006918,CUST006918,APPROVED,Missing item,2021-02-26,2021-02-26
RET00000244,ORD0006930,CUST006930,COMPLETED,Damaged item,2022-10-24,2022-10-24
RET00000245,ORD0006934,CUST006934,COMPLETED,Missing item,2020-10-14,2020-10-14
RET00000246,ORD0006936,CUST006936,RECEIVED,Missing item,2023-03-15,2023-03-15
RET00000247,ORD0006947,CUST006947,COMPLETED,Damaged item,2021-03-22,2021-03-22
RET00000248,ORD0007050,CUST007050,APPROVED,Not needed,2023-10-19,2023-10-19
RET00000249,ORD0007073,CUST007073,COMPLETED,Product issue,2020-05-20,2020-05-20
RET00000250,ORD0007108,CUST007108,REQUESTED,Not needed,2021-09-09,
RET00000251,ORD0007142,CUST007142,REQUESTED,Not needed,2022-10-07,
RET00000252,ORD0007153,CUST007153,RECEIVED,Wrong item,2022-12-09,2022-12-09
RET00000253,ORD0007249,CUST007249,COMPLETED,Damaged item,2022-04-24,2022-04-24
RET00000254,ORD0007259,CUST007259,APPROVED,Wrong item,2024-04-06,2024-04-06
RET00000255,ORD0007265,CUST007265,COMPLETED,Damaged item,2024-04-25,2024-04-25
RET00000256,ORD0007346,CUST007346,APPROVED,Wrong item,2021-12-10,2021-12-10
RET00000257,ORD0007433,CUST007433,COMPLETED,Wrong item,2024-02-07,2024-02-07
RET00000258,ORD0007464,CUST007464,REQUESTED,Not needed,2023-01-05,
RET00000259,ORD0007511,CUST007511,REQUESTED,Product issue,2021-08-23,
RET00000260,ORD0007639,CUST007639,COMPLETED,Product issue,2022-12-25,2022-12-25
RET00000261,ORD0007663,CUST007663,APPROVED,Wrong item,2021-08-29,2021-08-29
RET00000262,ORD0007730,CUST007730,COMPLETED,Wrong item,2020-09-21,2020-09-21
RET00000263,ORD0007774,CUST007774,COMPLETED,Damaged item,2023-09-18,2023-09-18
RET00000264,ORD0007807,CUST007807,COMPLETED,Not needed,2022-07-25,2022-07-25
RET00000265,ORD0007817,CUST007817,COMPLETED,Wrong item,2023-04-28,2023-04-28
RET00000266,ORD0007820,CUST007820,RECEIVED,Wrong item,2024-12-24,2024-12-24
RET00000267,ORD0007867,CUST007867,REQUESTED,Wrong item,2023-02-08,
RET00000268,ORD0007910,CUST007910,RECEIVED,Damaged item,2023-04-06,2023-04-06
RET00000269,ORD0007913,CUST007913,PICKUP_SCHEDULED,Product issue,2024-07-19,2024-07-19
RET00000270,ORD0007955,CUST007955,PICKUP_SCHEDULED,Wrong item,2023-08-19,2023-08-19
RET00000271,ORD0007958,CUST007958,COMPLETED,Missing item,2021-11-12,2021-11-12
RET00000272,ORD0007978,CUST007978,APPROVED,Damaged item,2020-04-10,2020-04-10
RET00000273,ORD0007989,CUST007989,RECEIVED,Missing item,2020-05-13,2020-05-13
RET00000274,ORD0008010,CUST008010,APPROVED,Missing item,2022-11-24,2022-11-24
RET00000275,ORD0008013,CUST008013,RECEIVED,Damaged item,2020-06-01,2020-06-01
RET00000276,ORD0008035,CUST008035,COMPLETED,Damaged item,2023-11-26,2023-11-26
RET00000277,ORD0008078,CUST008078,REQUESTED,Missing item,2021-09-14,
RET00000278,ORD0008090,CUST008090,PICKUP_SCHEDULED,Product issue,2020-03-07,2020-03-07
RET00000279,ORD0008098,CUST008098,APPROVED,Damaged item,2020-09-23,2020-09-23
RET00000280,ORD0008253,CUST008253,REQUESTED,Product issue,2021-04-08,
RET00000281,ORD0008256,CUST008256,APPROVED,Damaged item,2020-06-20,2020-06-20
RET00000282,ORD0008270,CUST008270,COMPLETED,Wrong item,2023-12-26,2023-12-26
RET00000283,ORD0008305,CUST008305,RECEIVED,Product issue,2024-06-02,2024-06-02
RET00000284,ORD0008343,CUST008343,PICKUP_SCHEDULED,Missing item,2024-06-12,2024-06-12
RET00000285,ORD0008353,CUST008353,COMPLETED,Wrong item,2024-02-17,2024-02-17
RET00000286,ORD0008381,CUST008381,COMPLETED,Missing item,2024-10-02,2024-10-02
RET00000287,ORD0008395,CUST008395,COMPLETED,Product issue,2020-09-07,2020-09-07
RET00000288,ORD0008402,CUST008402,PICKUP_SCHEDULED,Missing item,2020-04-06,2020-04-06
RET00000289,ORD0008455,CUST008455,PICKUP_SCHEDULED,Missing item,2024-12-03,2024-12-03
RET00000290,ORD0008530,CUST008530,RECEIVED,Damaged item,2020-06-27,2020-06-27
RET00000291,ORD0008534,CUST008534,COMPLETED,Product issue,2024-03-31,2024-03-31
RET00000292,ORD0008569,CUST008569,COMPLETED,Missing item,2021-04-29,2021-04-29
RET00000293,ORD0008640,CUST008640,APPROVED,Wrong item,2021-10-31,2021-10-31
RET00000294,ORD0008654,CUST008654,RECEIVED,Product issue,2021-07-06,2021-07-06
RET00000295,ORD0008708,CUST008708,REQUESTED,Missing item,2020-04-26,
RET00000296,ORD0008714,CUST008714,RECEIVED,Product issue,2024-10-04,2024-10-04
RET00000297,ORD0008778,CUST008778,COMPLETED,Damaged item,2023-08-24,2023-08-24
RET00000298,ORD0008829,CUST008829,PICKUP_SCHEDULED,Wrong item,2021-12-30,2021-12-30
RET00000299,ORD0008886,CUST008886,APPROVED,Damaged item,2024-12-02,2024-12-02
RET00000300,ORD0008994,CUST008994,RECEIVED,Not needed,2023-08-22,2023-08-22
RET00000301,ORD0008995,CUST008995,APPROVED,Not needed,2021-04-22,2021-04-22
RET00000302,ORD0009035,CUST009035,APPROVED,Damaged item,2020-12-17,2020-12-17
RET00000303,ORD0009064,CUST009064,REQUESTED,Not needed,2020-08-16,
RET00000304,ORD0009126,CUST009126,RECEIVED,Missing item,2022-06-16,2022-06-16
RET00000305,ORD0009148,CUST009148,COMPLETED,Not needed,2021-06-27,2021-06-27
RET00000306,ORD0009165,CUST009165,COMPLETED,Product issue,2022-11-29,2022-11-29
RET00000307,ORD0009184,CUST009184,APPROVED,Missing item,2023-06-14,2023-06-14
RET00000308,ORD0009191,CUST009191,PICKUP_SCHEDULED,Wrong item,2021-09-26,2021-09-26
